"Index","Record","Symbol","Description","Location","Mean","Max.LRS..","Max.LRS.Location","Additive.Effect..","Sample.r","X.nbsp..nbsp.N","Sample.p.r.","Lit.r","Tissue.r","ENTREZID","loc","bp","corsign"
24,"ILMN_1738759","PIGT","phosphatidylinositol glycan anchor biosynthesis, class T (PIGT), mRNA.","Chr20: 43.487946",9.497,"N/A","N/A","N/A",0.623,146,0.00000000000000004745,"0.34799999999999798","3.1E-2","51604","20",43.487946,1
25,"ILMN_1652456","TMEM98","transmembrane protein 98 (TMEM98), transcript variant 1, mRNA.","Chr17: 28.282481",7.123,"N/A","N/A","N/A",0.622,146,0.0000000000000000531,"--","4.2000000000000003E-2","26022","17",28.282481,1
26,"ILMN_1664798","GRHPR","glyoxylate reductase/hydroxypyruvate reductase (GRHPR), mRNA.","Chr9: 37.426770",8.454,"N/A","N/A","N/A",0.621,146,0.00000000000000006171,"0.47699999999999798","0.80100000000000005","9380","9",37.42677,1
27,"ILMN_1667430","DEGS1","degenerative spermatocyte homolog 1, lipid desaturase (Drosophila) (DEGS1), transcript variant 1, mRNA.","Chr1: 222.446889",8.596,"N/A","N/A","N/A",0.618,146,0.00000000000000009816,"--","0.493999999999999","8560","1",222.446889,1
28,"ILMN_1656621","CHMP2A","charged multivesicular body protein 2A (proposed multi-tissue human housekeeping gene)","Chr19: 63.758169",7.912,"N/A","N/A","N/A",0.618,146,0.00000000000000009849,"0.189","0.189","27243","19",63.758169,1
29,"ILMN_1803744","SELS","selenoprotein S (SELS), transcript variant 2, mRNA.","Chr15: 99.630489",8.61,"N/A","N/A","N/A",0.617,146,0.0000000000000001072,"0.48299999999999799","--","55829","15",99.630489,1
30,"ILMN_1763012","PFN1","profilin 1 (PFN1), mRNA.","Chr17: 4.790765",10.749,"N/A","N/A","N/A",0.613,146,0.0000000000000002069,"0.51200000000000001","0.124","5216","17",4.790765,1
31,"ILMN_1714433","MARCKSL1","MARCKS-like 1 (MARCKSL1), mRNA.","Chr1: 32.572371",13,"N/A","N/A","N/A",0.612,146,0.0000000000000002205,"0.4","-0.47","65108","1",32.572371,1
32,"ILMN_1808568","PYCR2","pyrroline-5-carboxylate reductase family, member 2 (PYCR2), mRNA.","Chr1: 224.174536",9.635,"N/A","N/A","N/A",0.611,146,0.0000000000000002639,"--","-0.16900000000000001","29920","1",224.174536,1
33,"ILMN_1721704","FNTA","farnesyltransferase, CAAX box, alpha (FNTA), transcript variant 1, mRNA.","Chr8: 43.059649",11.368,"N/A","N/A","N/A",0.609,146,0.0000000000000003374,"0.17199999999999799","7.0999999999999799E-2","2339","8",43.059649,1
34,"ILMN_1670263","C1orf71","chromosome 1 open reading frame 71 (C1orf71), mRNA.","Chr1: 244.896962",13.57,"N/A","N/A","N/A",-0.608,146,0.0000000000000003738,"--","--","163882","1",244.896962,-1
35,"ILMN_1739161","PPAP2A","phosphatidic acid phosphatase type 2A (PPAP2A), transcript variant 1, mRNA.","Chr5: 54.806958",7.679,"N/A","N/A","N/A",0.606,146,0.0000000000000005064,"0.438","-4.5999999999999902E-2","8611","5",54.806958,1
36,"ILMN_1727080","MYO6","myosin VI (MYO6), mRNA.","Chr6: 76.681376",7.609,"N/A","N/A","N/A",0.606,146,0.0000000000000005674,"0.367999999999998","0.28499999999999798","4646","6",76.681376,1
37,"ILMN_1790680","PDE6D","phosphodiesterase 6D, cGMP-specific, rod, delta (PDE6D), mRNA.","Chr2: 232.305624",9.403,"N/A","N/A","N/A",0.604,146,0.0000000000000006722,"0.26300000000000001","-0.56599999999999795","5147","2",232.305624,1
38,"ILMN_1660519","C3orf70","hypothetical gene supported by AK091454 (LOC285382), mRNA.","Chr3: 186.279006",10.221,"N/A","N/A","N/A",0.604,146,0.0000000000000006785,"--","--","285382","3",186.279006,1
39,"ILMN_1793743","DIRC2","disrupted in renal carcinoma 2 (DIRC2), mRNA.","Chr3: 124.081121",8.196,"N/A","N/A","N/A",0.604,146,0.0000000000000006868,"--","0.45400000000000001","84925","3",124.081121,1
40,"ILMN_1682054","SRI","sorcin (SRI), transcript variant 1, mRNA.","Chr7: 87.687236",8.195,"N/A","N/A","N/A",0.603,146,0.0000000000000007783,"--","0.27700000000000002","6717","7",87.687236,1
41,"ILMN_1679532","GRM3","glutamate receptor, metabotropic 3 (GRM3), mRNA.","Chr7: 86.331571",9.789,"N/A","N/A","N/A",0.603,146,0.0000000000000008376,"0.59099999999999797","0.13300000000000001","2913","7",86.331571,1
42,"ILMN_1782922","PDE4B","phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila) (PDE4B), transcript variant b, mRNA.","Chr1: 66.611705",7.55,"N/A","N/A","N/A",0.601,146,0.000000000000001101,"0.66400000000000003","8.69999999999998E-2","5142","1",66.611705,1
43,"ILMN_1761093","B3GAT1","beta-1,3-glucuronyltransferase 1 (glucuronosyltransferase P) (B3GAT1), transcript variant 2, mRNA.","Chr11: 133.754175",8.726,"N/A","N/A","N/A",0.6,146,0.000000000000001176,"0.46","-0.17499999999999799","27087","11",133.754175,1
44,"ILMN_1773485","QKI","quaking homolog, KH domain RNA binding (mouse) (QKI), transcript variant 3, mRNA.","Chr6: 163.907760",7.718,"N/A","N/A","N/A",0.6,146,0.00000000000000127,"0.38600000000000001","--","9444","6",163.90776,1
45,"ILMN_1794595","GAMT","guanidinoacetate N-methyltransferase (GAMT), transcript variant 1, mRNA.","Chr19: 1.350135",8.527,"N/A","N/A","N/A",0.596,146,0.00000000000000212,"0.55800000000000005","0.49099999999999799","2593","19",1.350135,1
46,"ILMN_1688868","PPAP2B","phosphatidic acid phosphatase type 2B (PPAP2B), transcript variant 1, mRNA.","Chr1: 56.733575",8.721,"N/A","N/A","N/A",0.595,146,0.000000000000002318,"0.39700000000000002","0.57499999999999796","8613","1",56.733575,1
47,"ILMN_1711745","PPIB","peptidylprolyl isomerase B (cyclophilin B) (PPIB), mRNA.","Chr15: 62.235372",11.39,"N/A","N/A","N/A",0.595,146,0.000000000000002353,"0.45400000000000001","0.44600000000000001","5479","15",62.235372,1
48,"ILMN_1720501","ABCA9","ATP-binding cassette, sub-family A (ABC1), member 9 (ABCA9), mRNA.","Chr17: 64.492665",7.56,"N/A","N/A","N/A",0.594,146,0.00000000000000265,"--","0.28799999999999798","10350","17",64.492665,1
49,"ILMN_1719403","MTX1","metaxin 1 (MTX1), transcript variant 1, mRNA.","Chr1: 153.448558",7.187,"N/A","N/A","N/A",0.594,146,0.000000000000002761,"0.368999999999999","-6.2E-2","4580","1",153.448558,1
50,"ILMN_1733648","SNAP91","synaptosomal-associated protein, 91kDa homolog (mouse) (SNAP91), mRNA.","Chr6: 1.000000",16.349,"N/A","N/A","N/A",-0.592,146,0.000000000000003681,"--","-0.19","9892","6",1,-1
51,"ILMN_1736135","TYW1","tRNA-yW synthesizing protein 1 homolog (S. cerevisiae) (TYW1), mRNA.","Chr7: 66.341310",7.658,"N/A","N/A","N/A",0.591,146,0.000000000000003929,"--","0.114","55253","7",66.34131,1
52,"ILMN_1801476","CDS1","CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1 (CDS1), mRNA.","Chr4: 85.789254",11.188,"N/A","N/A","N/A",-0.591,146,0.00000000000000398,"0.36599999999999799","-0.38300000000000001","1040","4",85.789254,-1
53,"ILMN_1709666","C3orf1","chromosome 3 open reading frame 1 (C3orf1), mRNA.","Chr3: 120.725380",11.422,"N/A","N/A","N/A",0.589,146,0.000000000000005548,"--","--","51300","3",120.72538,1
54,"ILMN_1676616","PTPRZ1","protein tyrosine phosphatase, receptor-type, Z polypeptide 1 (PTPRZ1), mRNA.","Chr7: 121.488416",10.149,"N/A","N/A","N/A",0.587,146,0.000000000000006619,"0.44900000000000001","-0.32200000000000001","5803","7",121.488416,1
55,"ILMN_1727855","PEMT","phosphatidylethanolamine N-methyltransferase (PEMT), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.","Chr17: 17.435571",6.958,"N/A","N/A","N/A",0.587,146,0.000000000000006871,"0.493999999999999","0.42699999999999799","10400","17",17.435571,1
56,"ILMN_1671260","GPR177","G protein-coupled receptor 177 (GPR177), transcript variant 2, mRNA.","Chr1: 68.384231",7.031,"N/A","N/A","N/A",0.587,146,0.000000000000006913,"--","0.193","79971","1",68.384231,1
57,"ILMN_1764087","SYPL1","synaptophysin-like 1 (SYPL1), transcript variant 2, mRNA.","Chr7: 105.519514",8.689,"N/A","N/A","N/A",0.586,146,0.000000000000007375,"--","--","6856","7",105.519514,1
58,"ILMN_1754912","GLE1L","GLE1 RNA export mediator-like (yeast) (GLE1L), transcript variant 1, mRNA.","Chr9: 130.344264",11.012,"N/A","N/A","N/A",-0.585,146,0.000000000000008976,"--","-0.12","2733","9",130.344264,-1
59,"ILMN_1751136","MAP1B","microtubule-associated protein 1B (MAP1B), transcript variant 1, mRNA.","Chr5: 71.538436",14.766,"N/A","N/A","N/A",-0.584,146,0.000000000000009816,"0.44600000000000001","--","4131","5",71.538436,-1
60,"ILMN_1728742","C5orf4","chromosome 5 open reading frame 4 (C5orf4), transcript variant 2, mRNA.","Chr5: 154.178616",8.243,"N/A","N/A","N/A",0.584,146,0.00000000000001034,"--","--","10826","5",154.178616,1
61,"ILMN_1729374","ETFB","electron-transfer-flavoprotein, beta polypeptide (ETFB), transcript variant 1, mRNA.","Chr19: 56.561345",10.135,"N/A","N/A","N/A",0.582,146,0.00000000000001266,"--","0.76300000000000001","2109","19",56.561345,1
62,"ILMN_1763972","TJP2","tight junction protein 2 (zona occludens 2) (TJP2), transcript variant 1, mRNA.","Chr9: 71.055900",7.364,"N/A","N/A","N/A",0.581,146,0.00000000000001544,"--","2.7E-2","9414","9",71.0559,1
63,"ILMN_1725485","RGS17","regulator of G-protein signalling 17 (RGS17), mRNA.","Chr6: 153.373768",10.473,"N/A","N/A","N/A",-0.58,146,0.00000000000001643,"0.29799999999999799","-0.25900000000000001","26575","6",153.373768,-1
64,"ILMN_1808157","RPIB9","Rap2-binding protein 9 (RPIB9), mRNA.","Chr7: 87.297603",12.024,"N/A","N/A","N/A",-0.58,146,0.00000000000001725,"--","--","154661","7",87.297603,-1
65,"ILMN_1691290","CELSR3","cadherin, EGF LAG seven-pass G-type receptor 3 (flamingo homolog, Drosophila) (CELSR3), mRNA.","Chr3: 48.648930",13.183,"N/A","N/A","N/A",-0.578,146,0.00000000000002293,"0.441","-0.23100000000000001","1951","3",48.64893,-1
66,"ILMN_1659753","LAMP2","lysosomal-associated membrane protein 2 (LAMP2), transcript variant LAMP2A, mRNA.","ChrX: 119.459696",7.825,"N/A","N/A","N/A",0.577,146,0.00000000000002483,"0.40600000000000003","0.69899999999999796","3920","X",119.459696,1
67,"ILMN_1678579","CPT2","carnitine palmitoyltransferase II (CPT2), nuclear gene encoding mitochondrial protein, mRNA.","Chr1: 53.452206",7.838,"N/A","N/A","N/A",0.576,146,0.00000000000002997,"0.45400000000000001","0.55400000000000005","1376","1",53.452206,1
68,"ILMN_1682270","FGFR2","fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome) (FGFR2), transcript variant 4, mRNA.","Chr10: 123.287913",6.832,"N/A","N/A","N/A",0.571,146,0.00000000000005561,"0.32","8.3000000000000004E-2","2263","10",123.287913,1
69,"ILMN_1813314","SEPT10","histone cluster 1, H2bk (HIST1H2BK), mRNA.","Chr6: 27.222496",6.848,"N/A","N/A","N/A",0.57,146,0.00000000000006038,"--","0.14199999999999799","85236","6",27.222496,1
70,"ILMN_1783931","PPAP2A","phosphatidic acid phosphatase type 2A (PPAP2A), transcript variant 2, mRNA.","Chr5: 54.756746",9.126,"N/A","N/A","N/A",0.57,146,0.000000000000062,"0.438","-4.5999999999999902E-2","8611","5",54.756746,1
71,"ILMN_1684576","C8orf61","chromosome 8 open reading frame 61 (C8orf61), mRNA.","Chr8: 1.721711",7.677,"N/A","N/A","N/A",0.569,146,0.0000000000000668,"--","--","619435","8",1.721711,1
72,"ILMN_1743747","RUSC1","RUN and SH3 domain containing 1 (RUSC1), mRNA.","Chr1: 153.567467",14.235,"N/A","N/A","N/A",-0.569,146,0.00000000000006849,"--","3.9E-2","23623","1",153.567467,-1
73,"ILMN_1781260","TTC19","tetratricopeptide repeat domain 19 (TTC19), mRNA.","Chr17: 15.872702",11.43,"N/A","N/A","N/A",-0.568,146,0.00000000000007333,"--","0.22800000000000001","54902","17",15.872702,-1
74,"ILMN_1697787","HIP1","huntingtin interacting protein 1 (HIP1), mRNA.","Chr7: 75.001380",7.513,"N/A","N/A","N/A",0.568,146,0.00000000000007359,"0.42","3.59999999999999E-2","3092","7",75.00138,1
75,"ILMN_1658469","TP53AP1","TP53 activated protein 1 (TP53AP1), mRNA.","Chr7: 86.812428",7.163,"N/A","N/A","N/A",0.567,146,0.00000000000008218,"--","--","11257","7",86.812428,1
76,"ILMN_1698121","ISOC1","isochorismatase domain containing 1 (ISOC1), mRNA.","ChrUn: 1.000000",7.331,"N/A","N/A","N/A",0.567,146,0.00000000000008267,"0.28399999999999798","0.39300000000000002","51015","Un",1,1
77,"ILMN_1782878","LRRC8D","leucine rich repeat containing 8 family, member D (LRRC8D), mRNA.","Chr1: 90.173692",9.014,"N/A","N/A","N/A",0.567,146,0.00000000000008272,"--","0.42299999999999799","55144","1",90.173692,1
78,"ILMN_1683865","IFIT3","interferon-induced protein with tetratricopeptide repeats 3 (IFIT3), mRNA.","Chr10: 91.077758",6.944,"N/A","N/A","N/A",0.566,146,0.00000000000009619,"--","0.33400000000000002","3437","10",91.077758,1
79,"ILMN_1731619","DAD1","defender against cell death 1 (DAD1), mRNA.","Chr14: 22.113868",12.949,"N/A","N/A","N/A",0.565,146,0.0000000000001099,"0.38500000000000001","0.13500000000000001","1603","14",22.113868,1
80,"ILMN_1758938","SLC31A2","solute carrier family 31 (copper transporters), member 2 (SLC31A2), mRNA.","ChrUn: 1.000000",8.798,"N/A","N/A","N/A",0.564,146,0.0000000000001184,"--","3.3000000000000002E-2","1318","Un",1,1
81,"ILMN_1685194","CLDN10","claudin 10 (CLDN10), transcript variant 2, mRNA.","Chr13: 95.003169",7.932,"N/A","N/A","N/A",0.564,146,0.0000000000001192,"0.32800000000000001","-7.3999999999999802E-2","9071","13",95.003169,1
82,"ILMN_1757910","HIP1R","huntingtin interacting protein 1 related (HIP1R), mRNA.","ChrUn: 1.000000",7.058,"N/A","N/A","N/A",0.563,146,0.0000000000001461,"0.36699999999999799","-7.2999999999999801E-2","9026","Un",1,1
83,"ILMN_1679858","CD9","CD9 molecule (CD9), mRNA.","Chr12: 6.217231",11.062,"N/A","N/A","N/A",0.562,146,0.0000000000001568,"0.38600000000000001","4.7E-2","928","12",6.217231,1
84,"ILMN_1802338","HHLA3","HERV-H LTR-associating 3 (HHLA3), transcript variant 4, mRNA.","Chr1: 70.593264",6.975,"N/A","N/A","N/A",0.562,146,0.0000000000001589,"--","--","11147","1",70.593264,1
85,"ILMN_1667213","DFFA","DNA fragmentation factor, 45kDa, alpha polypeptide (DFFA), transcript variant 1, mRNA.","Chr1: 10.443993",8.095,"N/A","N/A","N/A",0.562,146,0.0000000000001618,"0.47099999999999798","8.69999999999998E-2","1676","1",10.443993,1
86,"ILMN_1715635","ATP6V0E1","ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1 (ATP6V0E1), mRNA.","Chr5: 172.379849",8.61,"N/A","N/A","N/A",0.561,146,0.0000000000001746,"0.223","--","8992","5",172.379849,1
87,"ILMN_1751904","EDNRB","endothelin receptor type B (EDNRB), transcript variant 2, mRNA.","Chr13: 77.372706",7.957,"N/A","N/A","N/A",0.56,146,0.0000000000001891,"0.40200000000000002","0.46899999999999797","1910","13",77.372706,1
88,"ILMN_1682935","LYPLAL1","lysophospholipase-like 1 (LYPLAL1), mRNA.","Chr1: 217.413915",7.826,"N/A","N/A","N/A",0.559,146,0.0000000000002125,"--","0.55300000000000005","127018","1",217.413915,1
89,"ILMN_1792660","CAMSAP1L1","calmodulin regulated spectrin-associated protein 1-like 1 (CAMSAP1L1), mRNA.","Chr1: 199.096276",12.474,"N/A","N/A","N/A",-0.559,146,0.000000000000221,"0.221","-0.63800000000000001","23271","1",199.096276,-1
90,"ILMN_1672608","PPAP2B","phosphatidic acid phosphatase type 2B (PPAP2B), transcript variant 1, mRNA.","Chr1: 56.817352",7.085,"N/A","N/A","N/A",0.558,146,0.0000000000002393,"0.39700000000000002","0.57499999999999796","8613","1",56.817352,1
91,"ILMN_1703132","LYRM2","LYR motif containing 2 (LYRM2), mRNA.","ChrUn: 1.000000",8.911,"N/A","N/A","N/A",0.558,146,0.0000000000002453,"--","0.55700000000000005","57226","Un",1,1
92,"ILMN_1665235","CRTAP","cartilage associated protein (CRTAP), mRNA.","ChrUn: 1.000000",7.484,"N/A","N/A","N/A",0.558,146,0.0000000000002501,"0.45600000000000002","0.25900000000000001","10491","Un",1,1
93,"ILMN_1663627","ELMO1","engulfment and cell motility 1 (ELMO1), transcript variant 1, mRNA.","Chr7: 37.019536",6.91,"N/A","N/A","N/A",0.554,146,0.0000000000004187,"0.38800000000000001","-0.52100000000000002","9844","7",37.019536,1
94,"ILMN_1743299","PXMP3","peroxisomal membrane protein 3, 35kDa (Zellweger syndrome) (PXMP3), transcript variant 2, mRNA.","ChrUn: 1.000000",8.586,"N/A","N/A","N/A",0.553,146,0.0000000000004723,"0.46400000000000002","0.64900000000000002","5828","Un",1,1
95,"ILMN_1673282","LAMP2","lysosomal-associated membrane protein 2 (LAMP2), transcript variant LAMP2A, mRNA.","ChrX: 119.449280",8.614,"N/A","N/A","N/A",0.552,146,0.0000000000004955,"0.40600000000000003","0.69899999999999796","3920","X",119.44928,1
96,"ILMN_1727992","FEZ1","fasciculation and elongation protein zeta 1 (zygin I) (FEZ1), transcript variant 1, mRNA.","Chr11: 124.864600",10.935,"N/A","N/A","N/A",0.551,146,0.0000000000005905,"0.46300000000000002","-0.28299999999999798","9638","11",124.8646,1
97,"ILMN_1799104","SPAG9","sperm associated antigen 9 (SPAG9), transcript variant 1, mRNA.","Chr17: 46.398579",9.368,"N/A","N/A","N/A",0.55,146,0.0000000000006482,"--","0.13700000000000001","9043","17",46.398579,1
98,"ILMN_1749212","KUA-UEV","ubiquitin-conjugating enzyme E2 variant 1 (Kua-UEV), transcript variant 1, mRNA.","Chr20: 48.193506",7,"N/A","N/A","N/A",0.549,146,0.0000000000007638,"--","--","387522","20",48.193506,1
99,"ILMN_1777296","ACTB","actin, beta (ACTB), mRNA.","Chr7: 5.534602",14.58,"N/A","N/A","N/A",0.548,146,0.0000000000007848,"0.438","-6.0999999999999902E-2","60","7",5.534602,1
100,"ILMN_1665335","DIABLO","diablo homolog (Drosophila) (DIABLO), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA.","Chr12: 121.275170",7.212,"N/A","N/A","N/A",0.547,146,0.0000000000008766,"0.368999999999999","-0.245","56616","12",121.27517,1
101,"ILMN_1789283","PPP2R5C","protein phosphatase 2, regulatory subunit B', gamma isoform (PPP2R5C), transcript variant 4, mRNA.","Chr14: 101.430630",7.584,"N/A","N/A","N/A",0.547,146,0.0000000000008836,"0.33700000000000002","-0.17100000000000001","5527","14",101.43063,1
102,"ILMN_1737272","MOG","myelin oligodendrocyte glycoprotein (MOG), transcript variant beta4, mRNA.","Chr6: 29.747535",7.777,"N/A","N/A","N/A",0.547,146,0.0000000000009083,"0.40100000000000002","-0.12","4340","6",29.747535,1
103,"ILMN_1760245","TMEM42","transmembrane protein 42 (TMEM42), mRNA.","Chr3: 44.881919",8.509,"N/A","N/A","N/A",0.546,146,0.0000000000009855,"--","0.318","131616","3",44.881919,1
104,"ILMN_1773935","TMEM165","transmembrane protein 165 (TMEM165), mRNA.","Chr4: 55.986642",7.655,"N/A","N/A","N/A",0.546,146,0.000000000001,"--","0.35099999999999798","55858","4",55.986642,1
105,"ILMN_1668398","ZMYND17","zinc finger, MYND-type containing 17 (ZMYND17), mRNA.","Chr10: 74.853749",7.316,"N/A","N/A","N/A",-0.546,146,0.000000000001007,"--","-0.24099999999999799","118490","10",74.853749,-1
106,"ILMN_1814333","SERPINI1","serpin peptidase inhibitor, clade I (neuroserpin), member 1 (SERPINI1), mRNA.","Chr3: 168.995188",8.76,"N/A","N/A","N/A",0.546,146,0.000000000001012,"0.45","-0.224","5274","3",168.995188,1
107,"ILMN_1708516","PRTFDC1","phosphoribosyl transferase domain containing 1 (PRTFDC1), mRNA.","Chr10: 25.177959",8.166,"N/A","N/A","N/A",0.545,146,0.000000000001089,"--","--","56952","10",25.177959,1
108,"ILMN_1749962","NCAM2","neural cell adhesion molecule 2 (NCAM2), mRNA.","Chr21: 21.832517",8.237,"N/A","N/A","N/A",0.545,146,0.000000000001115,"0.37","0.29799999999999799","4685","21",21.832517,1
109,"ILMN_1710070","PCSK6","proprotein convertase subtilisin/kexin type 6 (PCSK6), transcript variant 6, mRNA.","Chr15: 99.742115",6.74,"N/A","N/A","N/A",0.545,146,0.000000000001122,"0.39700000000000002","0.48799999999999799","5046","15",99.742115,1
110,"ILMN_1730765","DUSP22","dual specificity phosphatase 22 (DUSP22), mRNA.","Chr6: 0.256945",6.94,"N/A","N/A","N/A",0.545,146,0.000000000001188,"0.22800000000000001","0.20599999999999799","56940","6",0.256945,1
111,"ILMN_1675038","PRMT2","protein arginine methyltransferase 2 (PRMT2), transcript variant 1, mRNA.","Chr21: 46.908950",9.974,"N/A","N/A","N/A",0.545,146,0.000000000001192,"0.49","-6.0999999999999902E-2","3275","21",46.90895,1
112,"ILMN_1767446","RNF150","ring finger protein 150 (RNF150), mRNA.","Chr4: 142.006214",11.42,"N/A","N/A","N/A",-0.544,146,0.000000000001352,"--","1.4E-2","57484","4",142.006214,-1
113,"ILMN_1768431","PRKCE","protein kinase C, epsilon (PRKCE), mRNA.","Chr2: 46.268137",10.985,"N/A","N/A","N/A",-0.543,146,0.000000000001374,"0.34499999999999797","7.3999999999999802E-2","5581","2",46.268137,-1
