"","Index","Record","Symbol","Description","Location","Mean","Max.LRS..","Max.LRS.Location","Additive.Effect..","Sample.r","X.nbsp..nbsp.N","Sample.p.r.","Lit.r","Tissue.r","loc","bp","corsign","ENTREZID"
"11",11,"ILMN_1664051","SEC22C","SEC22 vesicle trafficking protein homolog C (S. cerevisiae) (SEC22C), transcript variant 2, mRNA.","Chr3: 42.574132",8.439,"N/A","N/A","N/A",0.805,145,0.0000000000000000000000000000000003259,"--","-0.13300000000000001","3",42.574132,"1","9117"
"12",12,"ILMN_1730084","COMT","catechol-O-methyltransferase (COMT), transcript variant S-COMT, mRNA.","Chr22: 18.336318",12.834,"N/A","N/A","N/A",0.789,145,0.00000000000000000000000000000004546,"1","1","22",18.336318,"1","1312"
"13",13,"ILMN_1792689","HIST1H2AC","histone cluster 1, H2ac (HIST1H2AC), mRNA.","Chr6: 26.232443",7.792,"N/A","N/A","N/A",0.787,145,0.00000000000000000000000000000007918,"--","-0.35699999999999998","6",26.232443,"1","8334"
"14",14,"ILMN_1735438","GPM6B","glycoprotein M6B (GPM6B), transcript variant 4, mRNA.","ChrX: 13.704290",16.424,"N/A","N/A","N/A",0.786,145,0.0000000000000000000000000000001085,"0.33500000000000002","-0.32200000000000001","X",13.70429,"1","2824"
"15",15,"ILMN_1810864","PMP22","peripheral myelin protein 22 (PMP22), transcript variant 2, mRNA.","Chr17: 15.106483",8.181,"N/A","N/A","N/A",0.785,145,0.0000000000000000000000000000001737,"0.35699999999999998","0.14199999999999999","17",15.106483,"1","5376"
"16",16,"ILMN_1764087","SYPL1","synaptophysin-like 1 (SYPL1), transcript variant 2, mRNA.","Chr7: 105.519514",10.485,"N/A","N/A","N/A",0.782,145,0.0000000000000000000000000000004072,"--","--","7",105.519514,"1","6856"
"17",17,"ILMN_1721704","FNTA","farnesyltransferase, CAAX box, alpha (FNTA), transcript variant 1, mRNA.","Chr8: 43.059649",12.891,"N/A","N/A","N/A",0.78,145,0.0000000000000000000000000000006013,"0.17199999999999999","7.0999999999999994E-2","8",43.059649,"1","2339"
"18",18,"ILMN_1810164","TMEM170A","transmembrane protein 170 (TMEM170), mRNA.","Chr16: 74.038981",8.191,"N/A","N/A","N/A",0.774,145,0.000000000000000000000000000003199,"--","-0.115","16",74.038981,"1","124491"
"19",19,"ILMN_1738307","PRDX4","peroxiredoxin 4 (PRDX4), mRNA.","ChrX: 23.603132",9.397,"N/A","N/A","N/A",0.772,145,0.00000000000000000000000000000671,"0.47199999999999998","8.7999999999999995E-2","X",23.603132,"1","10549"
"20",20,"ILMN_1739161","PLPP1","phosphatidic acid phosphatase type 2A (PPAP2A), transcript variant 1, mRNA.","Chr5: 54.806958",8.155,"N/A","N/A","N/A",0.767,145,0.00000000000000000000000000002706,"0.438","-4.5999999999999999E-2","5",54.806958,"1","8611"
"21",21,"ILMN_1729180","GATM","glycine amidinotransferase (L-arginine:glycine amidinotransferase) (GATM), nuclear gene encoding mitochondrial protein, mRNA.","ChrUn: 1.000000",11.555,"N/A","N/A","N/A",0.763,145,0.00000000000000000000000000006709,"0.42699999999999999","0.18099999999999999","15",45.361,"1","2628"
"22",22,"ILMN_1805905","CAT","catalase (CAT), mRNA.","Chr11: 34.449571",9.215,"N/A","N/A","N/A",0.761,145,0.000000000000000000000000000128,"0.54500000000000004","0.82","11",34.449571,"1","847"
"23",23,"ILMN_1710070","PCSK6","proprotein convertase subtilisin/kexin type 6 (PCSK6), transcript variant 6, mRNA.","Chr15: 99.742115",7.13,"N/A","N/A","N/A",0.758,145,0.0000000000000000000000000002347,"0.39700000000000002","0.48799999999999999","15",99.742115,"1","5046"
"24",24,"ILMN_1796669","PSEN1","presenilin 1 (Alzheimer disease 3) (PSEN1), mRNA.","Chr14: 72.748378",7.619,"N/A","N/A","N/A",0.758,145,0.0000000000000000000000000002712,"0.35199999999999998","-0.46500000000000002","14",72.748378,"1","5663"
"25",25,"ILMN_1724895","CLU","clusterin (CLU), transcript variant 2, mRNA.","Chr8: 27.524606",7.482,"N/A","N/A","N/A",0.757,145,0.0000000000000000000000000003298,"0.46400000000000002","0.183","8",27.524606,"1","1191"
"26",26,"ILMN_1678928","SLCO3A1","solute carrier organic anion transporter family, member 3A1 (SLCO3A1), mRNA.","Chr15: 90.491358",8.235,"N/A","N/A","N/A",0.753,145,0.0000000000000000000000000009305,"--","-2.8000000000000001E-2","15",90.491358,"1","28232"
"27",27,"ILMN_1813314","HIST1H2BK","histone cluster 1, H2bk (HIST1H2BK), mRNA.","Chr6: 27.222496",7.196,"N/A","N/A","N/A",0.75,145,0.000000000000000000000000001879,"--","0.14199999999999999","6",27.222496,"1","85236"
"28",28,"ILMN_1799104","SPAG9","sperm associated antigen 9 (SPAG9), transcript variant 1, mRNA.","Chr17: 46.398579",9.5,"N/A","N/A","N/A",0.749,145,0.000000000000000000000000002161,"--","0.13700000000000001","17",46.398579,"1","9043"
"29",29,"ILMN_1652306","MEGF10","multiple EGF-like-domains 10 (MEGF10), mRNA.","Chr5: 126.823254",7.514,"N/A","N/A","N/A",0.746,145,0.000000000000000000000000004703,"0.315","-0.216","5",126.823254,"1","84466"
"30",30,"ILMN_1772786","KIF16B","chromosome 20 open reading frame 23 (C20orf23), mRNA.","Chr20: 16.201565",7.287,"N/A","N/A","N/A",0.746,145,0.000000000000000000000000005586,"0.24099999999999999","--","20",16.201565,"1","55614"
"31",31,"ILMN_1766499","HSPA2","heat shock 70kDa protein 2 (HSPA2), mRNA.","Chr14: 64.079042",14.013,"N/A","N/A","N/A",0.74,145,0.0000000000000000000000000235,"0.34100000000000003","-0.48599999999999999","14",64.079042,"1","3306"
"32",32,"ILMN_1749212","TMEM189.UBE2V1","ubiquitin-conjugating enzyme E2 variant 1 (Kua-UEV), transcript variant 1, mRNA.","Chr20: 48.193506",7.375,"N/A","N/A","N/A",0.739,145,0.00000000000000000000000002519,"--","--","20",48.193506,"1","387522"
"33",33,"ILMN_1750465","AGPS","alkylglycerone phosphate synthase (AGPS), mRNA.","Chr2: 178.096752",7.31,"N/A","N/A","N/A",0.739,145,0.00000000000000000000000002553,"0.39600000000000002","0.25800000000000001","2",178.096752,"1","8540"
"34",34,"ILMN_1773485","QKI","quaking homolog, KH domain RNA binding (mouse) (QKI), transcript variant 3, mRNA.","Chr6: 163.907760",8.639,"N/A","N/A","N/A",0.736,145,0.00000000000000000000000005382,"0.38600000000000001","--","6",163.90776,"1","9444"
"35",35,"ILMN_1761093","B3GAT1","beta-1,3-glucuronyltransferase 1 (glucuronosyltransferase P) (B3GAT1), transcript variant 2, mRNA.","Chr11: 133.754175",9.863,"N/A","N/A","N/A",0.736,145,0.00000000000000000000000005427,"0.46","-0.17499999999999999","11",133.754175,"1","27087"
"36",36,"ILMN_1691458","SYPL1","synaptophysin-like 1 (SYPL1), transcript variant 2, mRNA.","Chr7: 105.539942",7.224,"N/A","N/A","N/A",0.73,145,0.000000000000000000000000218,"--","--","7",105.539942,"1","6856"
"37",37,"ILMN_1688322","ADIPOR1","adiponectin receptor 1 (ADIPOR1), mRNA.","Chr1: 201.177053",9.86,"N/A","N/A","N/A",0.727,145,0.0000000000000000000000004529,"0.42899999999999999","0.20899999999999999","1",201.177053,"1","51094"
"38",38,"ILMN_1799860","PIGM","phosphatidylinositol glycan anchor biosynthesis, class M (PIGM), mRNA.","ChrUn: 1.000000",9.311,"N/A","N/A","N/A",0.726,145,0.0000000000000000000000005074,"--","-0.61599999999999999","1",160.028,"1","93183"
"39",39,"ILMN_1738759","PIGT","phosphatidylinositol glycan anchor biosynthesis, class T (PIGT), mRNA.","Chr20: 43.487946",9.92,"N/A","N/A","N/A",0.725,145,0.0000000000000000000000006138,"0.34799999999999998","3.1E-2","20",43.487946,"1","51604"
"40",40,"ILMN_1652456","TMEM98","transmembrane protein 98 (TMEM98), transcript variant 1, mRNA.","Chr17: 28.282481",7.561,"N/A","N/A","N/A",0.725,145,0.0000000000000000000000006849,"--","4.2000000000000003E-2","17",28.282481,"1","26022"
"41",41,"ILMN_1797964","ARL6IP6","ADP-ribosylation-like factor 6 interacting protein 6 (ARL6IP6), mRNA.","Chr2: 153.324567",7.945,"N/A","N/A","N/A",0.724,145,0.0000000000000000000000007868,"0.25600000000000001","1.4999999999999999E-2","2",153.324567,"1","151188"
"42",42,"ILMN_1740449","LOC220416","similar to Leucine-rich repeat protein SHOC-2 (Ras-binding protein Sur-8) (LOC220416), mRNA.","Chr13: 45.700828",7.178,"N/A","N/A","N/A",0.723,145,0.000000000000000000000001024,"--","--","13",45.700828,"1","220416"
"43",43,"ILMN_1801043","GSN","gelsolin (amyloidosis, Finnish type) (GSN), transcript variant 2, mRNA.","Chr9: 123.131020",10.339,"N/A","N/A","N/A",0.723,145,0.000000000000000000000001092,"0.45","0.217","9",123.13102,"1","2934"
"44",44,"ILMN_1737272","MOG","myelin oligodendrocyte glycoprotein (MOG), transcript variant beta4, mRNA.","Chr6: 29.747535",11.295,"N/A","N/A","N/A",0.722,145,0.000000000000000000000001266,"0.40100000000000002","-0.12","6",29.747535,"1","4340"
"45",45,"ILMN_1686985","MTM1","myotubularin 1 (MTM1), mRNA.","ChrX: 149.591560",7.739,"N/A","N/A","N/A",0.721,145,0.00000000000000000000000152,"0.41599999999999998","0.18","X",149.59156,"1","4534"
"46",46,"ILMN_1750108","SEC22C","SEC22 vesicle trafficking protein homolog C (S. cerevisiae) (SEC22C), transcript variant 2, mRNA.","Chr3: 42.564915",10.642,"N/A","N/A","N/A",0.72,145,0.000000000000000000000001818,"--","-0.13300000000000001","3",42.564915,"1","9117"
"47",47,"ILMN_1654314","LGALS3BP","lectin, galactoside-binding, soluble, 3 binding protein (LGALS3BP), mRNA.","Chr17: 74.479264",10.183,"N/A","N/A","N/A",0.719,145,0.000000000000000000000002554,"0.40200000000000002","0.436","17",74.479264,"1","3959"
"48",48,"ILMN_1671603","MED30","thyroid hormone receptor associated protein 6 (THRAP6), mRNA.","Chr8: 118.612188",8.357,"N/A","N/A","N/A",0.718,145,0.000000000000000000000002627,"0.32200000000000001","--","8",118.612188,"1","90390"
"49",49,"ILMN_1664750","TMBIM4","transmembrane BAX inhibitor motif containing 4 (TMBIM4), mRNA.","ChrUn: 1.000000",12.471,"N/A","N/A","N/A",0.716,145,0.000000000000000000000004849,"--","0.36899999999999999","12",66.136,"1","51643"
"50",50,"ILMN_1730765","DUSP22","dual specificity phosphatase 22 (DUSP22), mRNA.","Chr6: 0.256945",7.227,"N/A","N/A","N/A",0.716,145,0.000000000000000000000004896,"0.22800000000000001","0.20599999999999999","6",0.256945,"1","56940"
"51",51,"ILMN_1745119","MPLKIP","chromosome 7 open reading frame 11 (C7orf11), mRNA.","Chr7: 40.140381",7.583,"N/A","N/A","N/A",0.714,145,0.000000000000000000000007364,"0.29199999999999998","--","7",40.140381,"1","136647"
"52",52,"ILMN_1758816","UGT8","UDP glycosyltransferase 8 (UDP-galactose ceramide galactosyltransferase) (UGT8), mRNA.","Chr4: 115.816633",11.198,"N/A","N/A","N/A",0.714,145,0.000000000000000000000007454,"--","--","4",115.816633,"1","7368"
"53",53,"ILMN_1803744","SELENOS","selenoprotein S (SELS), transcript variant 2, mRNA.","Chr15: 99.630489",8.65,"N/A","N/A","N/A",0.713,145,0.000000000000000000000008545,"0.48299999999999998","--","15",99.630489,"1","55829"
"54",54,"ILMN_1711745","PPIB","peptidylprolyl isomerase B (cyclophilin B) (PPIB), mRNA.","Chr15: 62.235372",12.278,"N/A","N/A","N/A",0.711,145,0.00000000000000000000001233,"0.45400000000000001","0.44600000000000001","15",62.235372,"1","5479"
"55",55,"ILMN_1763972","TJP2","tight junction protein 2 (zona occludens 2) (TJP2), transcript variant 1, mRNA.","Chr9: 71.055900",7.241,"N/A","N/A","N/A",0.711,145,0.00000000000000000000001378,"--","2.7E-2","9",71.0559,"1","9414"
"56",56,"ILMN_1704290","SPTLC2","serine palmitoyltransferase, long chain base subunit 2 (SPTLC2), mRNA.","Chr14: 77.043104",8.079,"N/A","N/A","N/A",0.71,145,0.00000000000000000000001435,"--","0.39200000000000002","14",77.043104,"1","9517"
"57",57,"ILMN_1745885","POLR2F","polymerase (RNA) II (DNA directed) polypeptide F (POLR2F), mRNA.","Chr22: 36.693578",12.988,"N/A","N/A","N/A",0.709,145,0.00000000000000000000001742,"0.20699999999999999","0.33100000000000002","22",36.693578,"1","5435"
"58",58,"ILMN_1753010","GATB","PET112-like (yeast) (PET112L), mRNA.","Chr4: 152.811510",10.315,"N/A","N/A","N/A",0.709,145,0.00000000000000000000001957,"0.316","0.54800000000000004","4",152.81151,"1","5188"
"59",59,"ILMN_1658469","TP53TG1","TP53 activated protein 1 (TP53AP1), mRNA.","Chr7: 86.812428",7.452,"N/A","N/A","N/A",0.709,145,0.0000000000000000000000208,"--","--","7",86.812428,"1","11257"
"60",60,"ILMN_1656621","CHMP2A","charged multivesicular body protein 2A (proposed multi-tissue human housekeeping gene)","Chr19: 63.758169",8.01,"N/A","N/A","N/A",0.707,145,0.00000000000000000000002868,"0.189","0.189","19",63.758169,"1","27243"
"61",61,"ILMN_1679858","CD9","CD9 molecule (CD9), mRNA.","Chr12: 6.217231",14.418,"N/A","N/A","N/A",0.706,145,0.000000000000000000000033,"0.38600000000000001","4.7E-2","12",6.217231,"1","928"
"62",62,"ILMN_1714820","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12) (ITGB1), transcript variant 1E, mRNA.","Chr10: 33.239236",8.958,"N/A","N/A","N/A",0.706,145,0.00000000000000000000003415,"0.29199999999999998","0.53","10",33.239236,"1","3688"
"63",63,"ILMN_1763012","PFN1","profilin 1 (PFN1), mRNA.","Chr17: 4.790765",11.06,"N/A","N/A","N/A",0.705,145,0.00000000000000000000003971,"0.51200000000000001","0.124","17",4.790765,"1","5216"
"64",64,"ILMN_1768577","PCSK6","proprotein convertase subtilisin/kexin type 6 (PCSK6), transcript variant 6, mRNA.","Chr15: 99.722666",7.465,"N/A","N/A","N/A",0.704,145,0.00000000000000000000004973,"0.39700000000000002","0.48799999999999999","15",99.722666,"1","5046"
"66",66,"ILMN_1716445","DTYMK","deoxythymidylate kinase (thymidylate kinase) (DTYMK), mRNA.","Chr2: 242.273869",7.582,"N/A","N/A","N/A",0.702,145,0.00000000000000000000007792,"0.34499999999999997","-0.27700000000000002","2",242.273869,"1","1841"
"67",67,"ILMN_1768798","SPAG9","sperm associated antigen 9 (SPAG9), transcript variant 2, mRNA.","Chr17: 46.396381",8.406,"N/A","N/A","N/A",0.702,145,0.00000000000000000000008332,"--","0.13700000000000001","17",46.396381,"1","9043"
"68",68,"ILMN_1664978","TJP2","tight junction protein 2 (zona occludens 2) (TJP2), transcript variant 1, mRNA.","Chr9: 71.059242",8.731,"N/A","N/A","N/A",0.701,145,0.0000000000000000000001045,"--","2.7E-2","9",71.059242,"1","9414"
"69",69,"ILMN_1691864","Septin 10","septin 10 (SEPT10), transcript variant 2, mRNA.","Chr2: 109.659184",7.485,"N/A","N/A","N/A",0.7,145,0.0000000000000000000001097,"--","--","2",109.659184,"1","151011"
"70",70,"ILMN_1734895","SFT2D1","SFT2 domain containing 1 (SFT2D1), mRNA.","Chr6: 166.658035",11.952,"N/A","N/A","N/A",0.7,145,0.0000000000000000000001129,"--","0.20499999999999999","6",166.658035,"1","113402"
"71",71,"ILMN_1809003","CBR1","carbonyl reductase 1 (CBR1), mRNA.","Chr21: 36.366911",8.712,"N/A","N/A","N/A",0.698,145,0.000000000000000000000157,"0.53800000000000003","0.41199999999999998","21",36.366911,"1","873"
"72",72,"ILMN_1660440","ABHD17B","chromosome 9 open reading frame 77 (C9orf77), transcript variant 1, mRNA.","Chr9: 73.679642",7.298,"N/A","N/A","N/A",0.697,145,0.0000000000000000000002069,"--","--","9",73.679642,"1","51104"
"73",73,"ILMN_1666967","MPC1","brain protein 44-like (BRP44L), mRNA.","Chr6: 166.699458",11.33,"N/A","N/A","N/A",0.697,145,0.0000000000000000000002304,"0.28999999999999998","0.49399999999999999","6",166.699458,"1","51660"
"74",74,"ILMN_1750409","RAB9A","RAB9A, member RAS oncogene family (RAB9A), mRNA.","ChrX: 13.637511",10.755,"N/A","N/A","N/A",0.695,145,0.0000000000000000000002952,"0.23","--","X",13.637511,"1","9367"
"75",75,"ILMN_1732750","COA4","coiled-coil-helix-coiled-coil-helix domain containing 8 (CHCHD8), mRNA.","Chr11: 73.261765",7.475,"N/A","N/A","N/A",0.691,145,0.0000000000000000000006654,"--","-6.7000000000000004E-2","11",73.261765,"1","51287"
"77",77,"ILMN_1689237","BVES","blood vessel epicardial substance (BVES), transcript variant 5, mRNA.","Chr6: 105.651709",7.758,"N/A","N/A","N/A",0.69,145,0.0000000000000000000007835,"0.377","0.02","6",105.651709,"1","11149"
"78",78,"ILMN_1747775","STX2","syntaxin 2 (STX2), transcript variant 2, mRNA.","Chr12: 129.840467",9.363,"N/A","N/A","N/A",0.689,145,0.0000000000000000000009157,"--","-0.46","12",129.840467,"1","2054"
"79",79,"ILMN_1749297","ACTL6A","actin-like 6A (ACTL6A), transcript variant 3, mRNA.","ChrUn: 1.000000",8.422,"N/A","N/A","N/A",0.689,145,0.0000000000000000000009627,"0.31","-0.36599999999999999","3",179.563,"1","86"
"80",80,"ILMN_1699728","BTD","biotinidase (BTD), mRNA.","Chr3: 15.661984",7.592,"N/A","N/A","N/A",0.687,145,0.000000000000000000001538,"0.51600000000000001","0.73799999999999999","3",15.661984,"1","686"
"81",81,"ILMN_1713031","CPQ","plasma glutamate carboxypeptidase (PGCP), mRNA.","Chr8: 98.147487",7.834,"N/A","N/A","N/A",0.686,145,0.00000000000000000000169,"0.27800000000000002","0.59799999999999998","8",98.147487,"1","10404"
"82",82,"ILMN_1777296","ACTB","actin, beta (ACTB), mRNA.","Chr7: 5.534602",15.378,"N/A","N/A","N/A",0.685,145,0.000000000000000000001931,"0.438","-6.0999999999999999E-2","7",5.534602,"1","60"
"83",83,"ILMN_1728517","FNTB","farnesyltransferase, CAAX box, beta (FNTB), mRNA.","Chr14: 64.598938",11.407,"N/A","N/A","N/A",0.685,145,0.000000000000000000002124,"0.49199999999999999","-0.1","14",64.598938,"1","2342"
"84",84,"ILMN_1651987","CCDC167","chromosome 6 open reading frame 129 (C6orf129), mRNA.","ChrUn: 1.000000",8.592,"N/A","N/A","N/A",0.683,145,0.000000000000000000002736,"--","--","6",37.483,"1","154467"
"85",85,"ILMN_1769566","ATG3","ATG3 autophagy related 3 homolog (S. cerevisiae) (ATG3), mRNA.","Chr3: 113.738024",10.596,"N/A","N/A","N/A",0.683,145,0.000000000000000000003235,"0.249","0.22500000000000001","3",113.738024,"1","64422"
"86",86,"ILMN_1758315","SLC9A9","solute carrier family 9 (sodium/hydrogen exchanger), member 9 (SLC9A9), mRNA.","Chr3: 144.467024",8.495,"N/A","N/A","N/A",0.682,145,0.000000000000000000003506,"--","-0.14299999999999999","3",144.467024,"1","285195"
"87",87,"ILMN_1761247","PIR","pirin (iron-binding nuclear protein) (PIR), transcript variant 1, mRNA.","ChrX: 15.318253",9.251,"N/A","N/A","N/A",0.681,145,0.000000000000000000004346,"0.36599999999999999","0.14199999999999999","X",15.318253,"1","8544"
"88",88,"ILMN_1714433","MARCKSL1","MARCKS-like 1 (MARCKSL1), mRNA.","Chr1: 32.572371",16.051,"N/A","N/A","N/A",0.68,145,0.000000000000000000005277,"0.4","-0.47","1",32.572371,"1","65108"
"89",89,"ILMN_1696704","TLE4","transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila) (TLE4), mRNA.","Chr9: 81.530777",7.788,"N/A","N/A","N/A",0.68,145,0.000000000000000000005392,"--","-7.4999999999999997E-2","9",81.530777,"1","7091"
"90",90,"ILMN_1671905","SFR1","chromosome 10 open reading frame 78 (C10orf78), transcript variant 2, mRNA.","Chr10: 105.872761",7.661,"N/A","N/A","N/A",0.68,145,0.000000000000000000005458,"0.23","--","10",105.872761,"1","119392"
"93",93,"ILMN_1697787","HIP1","huntingtin interacting protein 1 (HIP1), mRNA.","Chr7: 75.001380",7.951,"N/A","N/A","N/A",0.678,145,0.000000000000000000007604,"0.42","3.5999999999999997E-2","7",75.00138,"1","3092"
"94",94,"ILMN_1684576","CLN8","chromosome 8 open reading frame 61 (C8orf61), mRNA.","Chr8: 1.721711",8.422,"N/A","N/A","N/A",0.678,145,0.000000000000000000007631,"--","--","8",1.721711,"1","2055"
"95",95,"ILMN_1680403","SSR4","signal sequence receptor, delta (translocon-associated protein delta) (SSR4), mRNA.","ChrX: 152.716744",12.246,"N/A","N/A","N/A",0.678,145,0.000000000000000000008002,"--","0.41699999999999998","X",152.716744,"1","6748"
"96",96,"ILMN_1659753","LAMP2","lysosomal-associated membrane protein 2 (LAMP2), transcript variant LAMP2A, mRNA.","ChrX: 119.459696",8.795,"N/A","N/A","N/A",0.677,145,0.0000000000000000000094,"0.40600000000000003","0.69899999999999995","X",119.459696,"1","3920"
"97",97,"ILMN_1805999","MYO1D","myosin ID (MYO1D), mRNA.","Chr17: 27.844050",8.192,"N/A","N/A","N/A",0.676,145,0.00000000000000000001009,"0.315","7.3999999999999996E-2","17",27.84405,"1","4642"
"98",98,"ILMN_1782878","LRRC8D","leucine rich repeat containing 8 family, member D (LRRC8D), mRNA.","Chr1: 90.173692",10.733,"N/A","N/A","N/A",0.676,145,0.00000000000000000001022,"--","0.42299999999999999","1",90.173692,"1","55144"
"99",99,"ILMN_1791531","FA2H","fatty acid 2-hydroxylase (FA2H), mRNA.","Chr16: 73.304694",9.367,"N/A","N/A","N/A",0.676,145,0.00000000000000000001141,"0.39600000000000002","-0.192","16",73.304694,"1","79152"
"100",100,"ILMN_1687519","SNAP23","synaptosomal-associated protein, 23kDa (SNAP23), transcript variant 1, mRNA.","Chr15: 40.607825",7.323,"N/A","N/A","N/A",0.676,145,0.00000000000000000001147,"--","0.30599999999999999","15",40.607825,"1","8773"
"101",101,"ILMN_1680022","PRELID1","PRELI domain containing 1 (PRELID1), mRNA.","Chr5: 176.666428",9.221,"N/A","N/A","N/A",-0.675,145,0.00000000000000000001308,"0.42799999999999999","0.38400000000000001","5",176.666428,"-1","27166"
"102",102,"ILMN_1717046","MOB3B","MOB1, Mps One Binder kinase activator-like 2B (yeast) (MOBKL2B), mRNA.","Chr9: 27.315805",8.479,"N/A","N/A","N/A",0.674,145,0.00000000000000000001568,"0.24399999999999999","0.13300000000000001","9",27.315805,"1","79817"
"103",103,"ILMN_1773847","DYNC1I2","dynein, cytoplasmic 1, intermediate chain 2 (DYNC1I2), mRNA.","Chr2: 172.310679",12.916,"N/A","N/A","N/A",0.674,145,0.00000000000000000001621,"0.32600000000000001","-0.159","2",172.310679,"1","1781"
"104",104,"ILMN_1764168","STXBP3","syntaxin binding protein 3 (STXBP3), mRNA.","ChrUn: 1.000000",9.161,"N/A","N/A","N/A",0.672,145,0.00000000000000000002042,"--","-5.8999999999999997E-2","1",108.747,"1","6814"
"105",105,"ILMN_1678766","DYNLT1","dynein, light chain, Tctex-type 1 (DYNLT1), mRNA.","Chr6: 158.977824",9.027,"N/A","N/A","N/A",0.672,145,0.0000000000000000000235,"--","--","6",158.977824,"1","6993"
"106",106,"ILMN_1678323","AASS","aminoadipate-semialdehyde synthase (AASS), mRNA.","Chr7: 121.503892",7.46,"N/A","N/A","N/A",0.67,145,0.0000000000000000000328,"0.54100000000000004","0.45300000000000001","7",121.503892,"1","10157"
"107",107,"ILMN_1785071","SELENOP","selenoprotein P, plasma, 1 (SEPP1), mRNA.","Chr5: 42.836624",13.815,"N/A","N/A","N/A",0.669,145,0.00000000000000000003428,"0.59399999999999997","0.82599999999999996","5",42.836624,"1","6414"
"108",108,"ILMN_1799115","ANKS1B","ankyrin repeat and sterile alpha motif domain containing 1B (ANKS1B), transcript variant 3, mRNA.","Chr12: 97.669264",8.34,"N/A","N/A","N/A",0.669,145,0.00000000000000000003483,"0.29499999999999998","8.0000000000000002E-3","12",97.669264,"1","56899"
"109",109,"ILMN_1789283","PPP2R5C","protein phosphatase 2, regulatory subunit B', gamma isoform (PPP2R5C), transcript variant 4, mRNA.","Chr14: 101.430630",7.74,"N/A","N/A","N/A",0.669,145,0.0000000000000000000354,"0.33700000000000002","-0.17100000000000001","14",101.43063,"1","5527"
"110",110,"ILMN_1731619","DAD1","defender against cell death 1 (DAD1), mRNA.","Chr14: 22.113868",14.498,"N/A","N/A","N/A",0.669,145,0.00000000000000000003765,"0.38500000000000001","0.13500000000000001","14",22.113868,"1","1603"
"111",111,"ILMN_1748471","RPLP0","ribosomal protein, large, P0 (RPLP0), transcript variant 2, mRNA.","Chr12: 119.123020",7.873,"N/A","N/A","N/A",0.668,145,0.00000000000000000004445,"--","--","12",119.12302,"1","6175"
