"Index","Record","Symbol","Description","Location","Mean","Max.LRS..","Max.LRS.Location","Additive.Effect..","Sample.r","X.nbsp..nbsp.N","Sample.p.r.","Lit.r","Tissue.r"
23,"ILMN_1784410","UBP1","upstream binding protein 1 (LBP-1a) (UBP1), mRNA.","Chr3: 33.405150",11.169,"N/A","N/A","N/A",-0.61,146,2.841e-16,"--","0.17199999999999999"
24,"ILMN_1713031","PGCP","plasma glutamate carboxypeptidase (PGCP), mRNA.","Chr8: 98.147487",7.5,"N/A","N/A","N/A",0.61,146,2.999e-16,"0.27800000000000002","0.59799999999999998"
25,"ILMN_1684461","CADPS2","Ca2+-dependent activator protein for secretion 2 (CADPS2), transcript variant 2, mRNA.","Chr7: 121.746734",11.101,"N/A","N/A","N/A",-0.609,146,3.547e-16,"0.41199999999999998","8.4000000000000005E-2"
26,"ILMN_1711745","PPIB","peptidylprolyl isomerase B (cyclophilin B) (PPIB), mRNA.","Chr15: 62.235372",11.728,"N/A","N/A","N/A",0.604,146,7.318e-16,"0.45400000000000001","0.44600000000000001"
27,"ILMN_1653115","ECH1","enoyl Coenzyme A hydratase 1, peroxisomal (ECH1), mRNA.","Chr19: 43.998177",11.912,"N/A","N/A","N/A",0.603,146,8.585e-16,"0.29099999999999998","0.74199999999999999"
28,"ILMN_1716445","DTYMK","deoxythymidylate kinase (thymidylate kinase) (DTYMK), mRNA.","Chr2: 242.273869",7.503,"N/A","N/A","N/A",0.602,146,9.544e-16,"0.34499999999999997","-0.27700000000000002"
29,"ILMN_1771921","HSCB","HscB iron-sulfur cluster co-chaperone homolog (E. coli) (HSCB), mRNA.","Chr22: 27.470632",7.327,"N/A","N/A","N/A",0.599,146,1.464e-15,"--","9.1999999999999998E-2"
30,"ILMN_1707717","BAALC","brain and acute leukemia, cytoplasmic (BAALC), transcript variant 1, mRNA.","Chr8: 104.294394",8.32,"N/A","N/A","N/A",0.593,146,3.236e-15,"0.36299999999999999","4.8000000000000001E-2"
31,"ILMN_1746846","TTLL4","tubulin tyrosine ligase-like family, member 4 (TTLL4), mRNA.","Chr2: 219.327220",7.116,"N/A","N/A","N/A",0.59,146,4.426e-15,"--","-0.24299999999999999"
32,"ILMN_1754663","TSPO","translocator protein (18kDa) (TSPO), transcript variant PBR, mRNA.","Chr22: 41.885320",7.08,"N/A","N/A","N/A",0.59,146,4.602e-15,"--","0.54600000000000004"
33,"ILMN_1810864","PMP22","peripheral myelin protein 22 (PMP22), transcript variant 2, mRNA.","Chr17: 15.106483",7.896,"N/A","N/A","N/A",0.586,146,8.268e-15,"0.35699999999999998","0.14199999999999999"
34,"ILMN_1664051","SEC22C","SEC22 vesicle trafficking protein homolog C (S. cerevisiae) (SEC22C), transcript variant 2, mRNA.","Chr3: 42.574132",8.159,"N/A","N/A","N/A",0.586,146,8.36e-15,"--","-0.13300000000000001"
35,"ILMN_1711810","PNKD","paroxysmal nonkinesiogenic dyskinesia (PNKD), transcript variant 1, mRNA.","Chr2: 218.844420",8.805,"N/A","N/A","N/A",0.585,146,8.919e-15,"0.60099999999999998","0.315"
36,"ILMN_1761797","CSTB","cystatin B (stefin B) (CSTB), mRNA.","Chr21: 44.018978",12.572,"N/A","N/A","N/A",0.585,146,9.065e-15,"0.53900000000000003","0.26900000000000002"
37,"ILMN_1652306","MEGF10","multiple EGF-like-domains 10 (MEGF10), mRNA.","Chr5: 126.823254",7.313,"N/A","N/A","N/A",0.585,146,9.169e-15,"0.315","-0.216"
38,"ILMN_1733164","FBXO11","F-box protein 11 (FBXO11), transcript variant 2, mRNA.","Chr2: 47.893651",7.162,"N/A","N/A","N/A",-0.584,146,1.072e-14,"0.43","-0.27500000000000002"
39,"ILMN_1707310","MGLL","monoglyceride lipase (MGLL), transcript variant 2, mRNA.","Chr3: 129.024622",7.008,"N/A","N/A","N/A",0.582,146,1.308e-14,"0.43099999999999999","0.36599999999999999"
40,"ILMN_1729374","ETFB","electron-transfer-flavoprotein, beta polypeptide (ETFB), transcript variant 1, mRNA.","Chr19: 56.561345",11.002,"N/A","N/A","N/A",0.582,146,1.336e-14,"--","0.76300000000000001"
41,"ILMN_1769705","LOC440093","similar to H3 histone, family 3B (LOC440093), mRNA.","Chr12: 31.836086",10.615,"N/A","N/A","N/A",0.579,146,1.817e-14,"--","--"
42,"ILMN_1651966","FGFR3","fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism) (FGFR3), transcript variant 1, mRNA.","Chr4: 1.775857",6.96,"N/A","N/A","N/A",0.579,146,1.933e-14,"0.34399999999999997","5.1999999999999998E-2"
43,"ILMN_1745885","POLR2F","polymerase (RNA) II (DNA directed) polypeptide F (POLR2F), mRNA.","Chr22: 36.693578",11.931,"N/A","N/A","N/A",0.578,146,2.207e-14,"0.20699999999999999","0.33100000000000002"
44,"ILMN_1685194","CLDN10","claudin 10 (CLDN10), transcript variant 2, mRNA.","Chr13: 95.003169",9.254,"N/A","N/A","N/A",0.578,146,2.272e-14,"0.32800000000000001","-7.3999999999999996E-2"
45,"ILMN_1757910","HIP1R","huntingtin interacting protein 1 related (HIP1R), mRNA.","ChrUn: 1.000000",7.296,"N/A","N/A","N/A",0.577,146,2.392e-14,"0.36699999999999999","-7.2999999999999995E-2"
46,"ILMN_1737074","LOC440589","similar to ribosomal protein S2, transcript variant 3 (LOC440589), mRNA.","ChrUn: 1.000000",14.823,"N/A","N/A","N/A",0.576,146,2.736e-14,"--","--"
47,"ILMN_1720053","ZFAND3","zinc finger, AN1-type domain 3 (ZFAND3), mRNA.","Chr6: 38.229892",8.374,"N/A","N/A","N/A",0.576,146,2.924e-14,"--","0.56899999999999995"
48,"ILMN_1724895","CLU","clusterin (CLU), transcript variant 2, mRNA.","Chr8: 27.524606",7.522,"N/A","N/A","N/A",0.575,146,3.021e-14,"0.46400000000000002","0.183"
49,"ILMN_1789136","SERF2","small EDRK-rich factor 2 (SERF2), mRNA.","Chr15: 41.872465",12.961,"N/A","N/A","N/A",0.575,146,3.148e-14,"--","0.441"
50,"ILMN_1802251","PTTG1IP","pituitary tumor-transforming 1 interacting protein (PTTG1IP), mRNA.","Chr21: 45.094674",10.042,"N/A","N/A","N/A",0.575,146,3.221e-14,"0.20399999999999999","0.63200000000000001"
51,"ILMN_1672650","PKM2","pyruvate kinase, muscle (PKM2), transcript variant 1, mRNA.","Chr15: 70.281933",7.285,"N/A","N/A","N/A",0.575,146,3.24e-14,"0.43099999999999999","-0.29399999999999998"
52,"ILMN_1701832","RPL19","ribosomal protein L19 (RPL19), mRNA.","Chr17: 34.612209",15.533,"N/A","N/A","N/A",0.575,146,3.368e-14,"0.437","0.25"
53,"ILMN_1748471","RPLP0","ribosomal protein, large, P0 (RPLP0), transcript variant 2, mRNA.","Chr12: 119.123020",8.051,"N/A","N/A","N/A",0.572,146,4.754e-14,"--","--"
54,"ILMN_1738103","COPE","coatomer protein complex, subunit epsilon (COPE), transcript variant 2, mRNA.","Chr19: 18.871723",11.085,"N/A","N/A","N/A",0.572,146,4.927e-14,"--","0.44400000000000001"
55,"ILMN_1678323","AASS","aminoadipate-semialdehyde synthase (AASS), mRNA.","Chr7: 121.503892",7.132,"N/A","N/A","N/A",0.571,146,5.166e-14,"0.54100000000000004","0.45300000000000001"
56,"ILMN_1707534","NKRF","NF-kappaB repressing factor (NKRF), mRNA.","ChrX: 118.606567",9.532,"N/A","N/A","N/A",-0.571,146,5.443e-14,"0.376","-0.107"
57,"ILMN_1666635","RPS14","ribosomal protein S14 (RPS14), transcript variant 2, mRNA.","Chr5: 149.806595",16.286,"N/A","N/A","N/A",0.569,146,6.415e-14,"0.183","4.2000000000000003E-2"
58,"ILMN_1763311","C12ORF39","chromosome 12 open reading frame 39 (C12orf39), mRNA.","Chr12: 21.571978",6.978,"N/A","N/A","N/A",0.568,146,7.206e-14,"--","--"
59,"ILMN_1799104","SPAG9","sperm associated antigen 9 (SPAG9), transcript variant 1, mRNA.","Chr17: 46.398579",9.27,"N/A","N/A","N/A",0.568,146,7.98e-14,"--","0.13700000000000001"
60,"ILMN_1675387","LIMS1","LIM and senescent cell antigen-like domains 1 (LIMS1), mRNA.","Chr2: 108.658771",7.253,"N/A","N/A","N/A",0.567,146,8.156e-14,"0.42499999999999999","0.11799999999999999"
61,"ILMN_1687519","SNAP23","synaptosomal-associated protein, 23kDa (SNAP23), transcript variant 1, mRNA.","Chr15: 40.607825",7.135,"N/A","N/A","N/A",0.566,146,9.64e-14,"--","0.30599999999999999"
62,"ILMN_1761155","PABPC1","poly(A) binding protein, cytoplasmic 1 (PABPC1), mRNA.","Chr8: 101.786444",11.414,"N/A","N/A","N/A",0.565,146,1.052e-13,"0.39200000000000002","-0.49"
63,"ILMN_1688868","PPAP2B","phosphatidic acid phosphatase type 2B (PPAP2B), transcript variant 1, mRNA.","Chr1: 56.733575",9.359,"N/A","N/A","N/A",0.565,146,1.138e-13,"0.39700000000000002","0.57499999999999996"
64,"ILMN_1745421","ZMAT5","zinc finger, matrin type 5 (ZMAT5), transcript variant 1, mRNA.","Chr22: 28.466670",8.311,"N/A","N/A","N/A",0.565,146,1.149e-13,"--","-1.7000000000000001E-2"
65,"ILMN_1746598","SCNM1","sodium channel modifier 1 (SCNM1), transcript variant 2, mRNA.","Chr1: 149.406479",8.013,"N/A","N/A","N/A",0.564,146,1.25e-13,"0.40400000000000003","-0.53700000000000003"
66,"ILMN_1707810","RPS5","ribosomal protein S5 (RPS5), mRNA.","Chr19: 63.596322",13.727,"N/A","N/A","N/A",0.564,146,1.277e-13,"0.34200000000000003","0.104"
67,"ILMN_1713369","RPL13A","ribosomal protein L13a (RPL13A), mRNA.","Chr19: 54.686979",10.996,"N/A","N/A","N/A",0.561,146,1.808e-13,"0.40500000000000003","0.10199999999999999"
68,"ILMN_1732154","BCAN","brevican (BCAN), transcript variant 1, mRNA.","Chr1: 154.895759",11.071,"N/A","N/A","N/A",0.561,146,1.853e-13,"0.40100000000000002","-8.0000000000000002E-3"
69,"ILMN_1813639","C20ORF58","chromosome 20 open reading frame 58 (C20orf58), mRNA.","Chr20: 61.342846",7.496,"N/A","N/A","N/A",0.56,146,2.038e-13,"0.23200000000000001","--"
70,"ILMN_1764549","UBE3A","ubiquitin protein ligase E3A (human papilloma virus E6-associated protein, Angelman syndrome) (UBE3A), transcript variant 1, mRNA.","Chr15: 23.133560",12.018,"N/A","N/A","N/A",-0.559,146,2.31e-13,"--","-9.1999999999999998E-2"
71,"ILMN_1798659","CCDC28A","coiled-coil domain containing 28A (CCDC28A), mRNA.","Chr6: 139.155976",11.5,"N/A","N/A","N/A",-0.559,146,2.376e-13,"--","-0.42399999999999999"
72,"ILMN_1660519","LOC285382","hypothetical gene supported by AK091454 (LOC285382), mRNA.","Chr3: 186.279006",10.308,"N/A","N/A","N/A",0.557,146,2.782e-13,"--","--"
73,"ILMN_1658457","RPL12","ribosomal protein L12 (RPL12), mRNA.","Chr9: 129.251747",14.88,"N/A","N/A","N/A",0.557,146,2.818e-13,"0.21199999999999999","-0.13300000000000001"
74,"ILMN_1743747","RUSC1","RUN and SH3 domain containing 1 (RUSC1), mRNA.","Chr1: 153.567467",13.507,"N/A","N/A","N/A",-0.557,146,2.843e-13,"--","3.9E-2"
75,"ILMN_1659339","ELP4","elongation protein 4 homolog (S. cerevisiae) (ELP4), mRNA.","Chr11: 31.761565",7.786,"N/A","N/A","N/A",0.557,146,2.966e-13,"0.29599999999999999","0.32100000000000001"
76,"ILMN_1792660","CAMSAP1L1","calmodulin regulated spectrin-associated protein 1-like 1 (CAMSAP1L1), mRNA.","Chr1: 199.096276",12.635,"N/A","N/A","N/A",-0.556,146,3.072e-13,"0.221","-0.63800000000000001"
77,"ILMN_1790680","PDE6D","phosphodiesterase 6D, cGMP-specific, rod, delta (PDE6D), mRNA.","Chr2: 232.305624",9.283,"N/A","N/A","N/A",0.556,146,3.278e-13,"0.26300000000000001","-0.56599999999999995"
78,"ILMN_1801043","GSN","gelsolin (amyloidosis, Finnish type) (GSN), transcript variant 2, mRNA.","Chr9: 123.131020",8.7,"N/A","N/A","N/A",0.555,146,3.446e-13,"0.45","0.217"
79,"ILMN_1733157","THSD1","thrombospondin, type I, domain containing 1 (THSD1), transcript variant 1, mRNA.","Chr13: 51.849928",7.015,"N/A","N/A","N/A",0.555,146,3.58e-13,"--","1.2999999999999999E-2"
80,"ILMN_1752952","MMP28","matrix metallopeptidase 28 (MMP28), transcript variant 3, mRNA.","Chr17: 31.130376",7.046,"N/A","N/A","N/A",0.553,146,4.321e-13,"0.44600000000000001","0.23100000000000001"
81,"ILMN_1708861","LRRC3B","leucine rich repeat containing 3B (LRRC3B), mRNA.","Chr3: 26.726633",7.735,"N/A","N/A","N/A",0.552,146,5.368e-13,"--","0.23899999999999999"
82,"ILMN_1793859","ALDH2","aldehyde dehydrogenase 2 family (mitochondrial) (ALDH2), nuclear gene encoding mitochondrial protein, mRNA.","Chr12: 110.731770",11.956,"N/A","N/A","N/A",0.551,146,6.082e-13,"0.58699999999999997","0.753"
83,"ILMN_1709039","RPL13","ribosomal protein L13 (RPL13), transcript variant 2, mRNA.","Chr16: 88.154652",7.293,"N/A","N/A","N/A",0.55,146,6.657e-13,"--","-9.5000000000000001E-2"
84,"ILMN_1751753","IDH2","isocitrate dehydrogenase 2 (NADP+), mitochondrial (IDH2), mRNA.","Chr15: 88.428515",10.242,"N/A","N/A","N/A",0.55,146,6.825e-13,"0.497","0.52800000000000002"
85,"ILMN_1803686","ADA","adenosine deaminase (ADA), mRNA.","Chr20: 42.681855",7.716,"N/A","N/A","N/A",0.548,146,8.241e-13,"0.51500000000000001","-0.191"
86,"ILMN_1804113","RFXANK","regulatory factor X-associated ankyrin-containing protein (RFXANK), transcript variant 1, mRNA.","Chr19: 19.169010",7.206,"N/A","N/A","N/A",0.547,146,9.215e-13,"0.30099999999999999","0.34"
87,"ILMN_1784176","ABCA5","ATP-binding cassette, sub-family A (ABC1), member 5 (ABCA5), transcript variant 2, mRNA.","Chr17: 64.754462",7.739,"N/A","N/A","N/A",-0.547,146,9.427e-13,"0.34399999999999997","-0.23"
88,"ILMN_1682054","SRI","sorcin (SRI), transcript variant 1, mRNA.","Chr7: 87.687236",8.882,"N/A","N/A","N/A",0.546,146,9.946e-13,"--","0.27700000000000002"
89,"ILMN_1797005","PGLS","6-phosphogluconolactonase (PGLS), mRNA.","Chr19: 17.492848",8.918,"N/A","N/A","N/A",0.544,146,1.257e-12,"--","0.28599999999999998"
90,"ILMN_1724207","IVD","isovaleryl Coenzyme A dehydrogenase (IVD), nuclear gene encoding mitochondrial protein, mRNA.","Chr15: 38.498019",8.169,"N/A","N/A","N/A",0.544,146,1.281e-12,"0.33","0.79700000000000004"
91,"ILMN_1773485","QKI","quaking homolog, KH domain RNA binding (mouse) (QKI), transcript variant 3, mRNA.","Chr6: 163.907760",8.026,"N/A","N/A","N/A",0.544,146,1.325e-12,"0.38600000000000001","--"
92,"ILMN_1806601","GRSF1","G-rich RNA sequence binding factor 1 (GRSF1), mRNA.","Chr4: 71.904280",11.82,"N/A","N/A","N/A",-0.542,146,1.527e-12,"0.31","0.40300000000000002"
93,"ILMN_1653162","HSD17B6","hydroxysteroid (17-beta) dehydrogenase 6 homolog (mouse) (HSD17B6), mRNA.","Chr12: 55.467342",7.896,"N/A","N/A","N/A",0.542,146,1.543e-12,"0.26400000000000001","0.48499999999999999"
94,"ILMN_1737965","ELOVL4","elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 4 (ELOVL4), mRNA.","Chr6: 80.681277",11.65,"N/A","N/A","N/A",-0.542,146,1.599e-12,"0.39500000000000002","-0.14699999999999999"
95,"ILMN_1800659","PGM1","phosphoglucomutase 1 (PGM1), mRNA.","Chr1: 63.898163",11.898,"N/A","N/A","N/A",0.541,146,1.721e-12,"0.38400000000000001","0.215"
96,"ILMN_1740604","RAB11FIP5","RAB11 family interacting protein 5 (class I) (RAB11FIP5), mRNA.","Chr2: 73.154118",11.101,"N/A","N/A","N/A",-0.541,146,1.751e-12,"--","-0.224"
97,"ILMN_1700477","MRPL43","mitochondrial ribosomal protein L43 (MRPL43), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.","Chr10: 102.736678",9.279,"N/A","N/A","N/A",0.541,146,1.885e-12,"0.32900000000000001","0.33100000000000002"
98,"ILMN_1696419","STOM","stomatin (STOM), transcript variant 1, mRNA.","Chr9: 123.150194",7.987,"N/A","N/A","N/A",0.541,146,1.889e-12,"--","5.5E-2"
99,"ILMN_1740938","APOE","apolipoprotein E (APOE), mRNA.","Chr19: 50.104216",14.586,"N/A","N/A","N/A",0.54,146,1.911e-12,"0.33700000000000002","0.53500000000000003"
100,"ILMN_1761247","PIR","pirin (iron-binding nuclear protein) (PIR), transcript variant 1, mRNA.","ChrX: 15.318253",8.7,"N/A","N/A","N/A",0.54,146,1.98e-12,"0.36599999999999999","0.14199999999999999"
101,"ILMN_1658494","RGC32","response gene to complement 32 (RGC32), mRNA.","Chr13: 40.942716",14.23,"N/A","N/A","N/A",0.54,146,2.028e-12,"0.34499999999999997","--"
102,"ILMN_1734823","MSI2","musashi homolog 2 (Drosophila) (MSI2), transcript variant 1, mRNA.","Chr17: 53.048407",7.193,"N/A","N/A","N/A",0.54,146,2.061e-12,"0.379","-0.189"
103,"ILMN_1666089","OLIG1","oligodendrocyte transcription factor 1 (OLIG1), mRNA.","Chr21: 33.366204",13.022,"N/A","N/A","N/A",0.539,146,2.267e-12,"0.34499999999999997","-4.4999999999999998E-2"
104,"ILMN_1680300","BCAN","brevican (BCAN), transcript variant 2, mRNA.","Chr1: 154.889042",6.79,"N/A","N/A","N/A",0.539,146,2.272e-12,"0.40100000000000002","-8.0000000000000002E-3"
105,"ILMN_1681130","ACP6","acid phosphatase 6, lysophosphatidic (ACP6), mRNA.","Chr1: 145.585935",7.464,"N/A","N/A","N/A",0.538,146,2.407e-12,"0.38100000000000001","0.68"
106,"ILMN_1678579","CPT2","carnitine palmitoyltransferase II (CPT2), nuclear gene encoding mitochondrial protein, mRNA.","Chr1: 53.452206",7.95,"N/A","N/A","N/A",0.538,146,2.43e-12,"0.45400000000000001","0.55400000000000005"
107,"ILMN_1667213","DFFA","DNA fragmentation factor, 45kDa, alpha polypeptide (DFFA), transcript variant 1, mRNA.","Chr1: 10.443993",8.285,"N/A","N/A","N/A",0.538,146,2.595e-12,"0.47099999999999997","8.6999999999999994E-2"
108,"ILMN_1739876","RAB3GAP1","RAB3 GTPase activating protein subunit 1 (catalytic) (RAB3GAP1), mRNA.","Chr2: 135.643839",13.831,"N/A","N/A","N/A",-0.537,146,2.784e-12,"--","0.34699999999999998"
109,"ILMN_1797530","CHCHD5","coiled-coil-helix-coiled-coil-helix domain containing 5 (CHCHD5), mRNA.","Chr2: 113.060300",8.612,"N/A","N/A","N/A",0.537,146,2.803e-12,"--","5.8000000000000003E-2"
110,"ILMN_1720799","GPSN2","glycoprotein, synaptic 2 (GPSN2), mRNA.","Chr19: 14.537453",13.26,"N/A","N/A","N/A",0.536,146,2.989e-12,"--","0.432"
111,"ILMN_1656951","APCDD1","adenomatosis polyposis coli down-regulated 1 (APCDD1), mRNA.","Chr18: 10.478228",9.086,"N/A","N/A","N/A",0.536,146,3.07e-12,"0.26500000000000001","0.04"
112,"ILMN_1751471","MLC1","megalencephalic leukoencephalopathy with subcortical cysts 1 (MLC1), transcript variant 1, mRNA.","Chr22: 48.840811",8.321,"N/A","N/A","N/A",0.536,146,3.073e-12,"0.43099999999999999","-6.0000000000000001E-3"
113,"ILMN_1667429","SLC25A20","solute carrier family 25 (carnitine/acylcarnitine translocase), member 20 (SLC25A20), nuclear gene encoding mitochondrial protein, mRNA.","Chr3: 48.875045",6.988,"N/A","N/A","N/A",0.536,146,3.262e-12,"--","0.52800000000000002"
114,"ILMN_1775243","LOC441246","similar to 60S ribosomal protein L35, transcript variant 5 (LOC441246), mRNA.","ChrUn: 1.000000",14.458,"N/A","N/A","N/A",0.536,146,3.274e-12,"--","--"
115,"ILMN_1728907","SCAMP1","secretory carrier membrane protein 1 (SCAMP1), mRNA.","ChrUn: 1.000000",13.568,"N/A","N/A","N/A",-0.535,146,3.309e-12,"0.27800000000000002","0.224"
116,"ILMN_1760714","RPS3","ribosomal protein S3 (RPS3), mRNA.","Chr11: 74.791126",14.612,"N/A","N/A","N/A",0.535,146,3.498e-12,"0.39500000000000002","8.1000000000000003E-2"
117,"ILMN_1797964","ARL6IP6","ADP-ribosylation-like factor 6 interacting protein 6 (ARL6IP6), mRNA.","Chr2: 153.324567",7.927,"N/A","N/A","N/A",0.534,146,3.956e-12,"0.25600000000000001","1.4999999999999999E-2"
118,"ILMN_1801833","ARHGAP24","Rho GTPase activating protein 24 (ARHGAP24), transcript variant 2, mRNA.","ChrUn: 1.000000",7.359,"N/A","N/A","N/A",0.534,146,4.045e-12,"0.29399999999999998","0.48099999999999998"
119,"ILMN_1715324","HSD17B8","hydroxysteroid (17-beta) dehydrogenase 8 (HSD17B8), mRNA.","Chr6: 33.281904",8.136,"N/A","N/A","N/A",0.533,146,4.164e-12,"0.42099999999999999","--"
120,"ILMN_1792951","ZHX2","zinc fingers and homeoboxes 2 (ZHX2), mRNA.","Chr8: 124.055407",7.983,"N/A","N/A","N/A",0.533,146,4.249e-12,"--","0.52800000000000002"
121,"ILMN_1662852","IQCK","IQ motif containing K (IQCK), mRNA.","Chr16: 19.775680",8.229,"N/A","N/A","N/A",0.533,146,4.537e-12,"--","--"
122,"ILMN_1815705","LZTFL1","leucine zipper transcription factor-like 1 (LZTFL1), mRNA.","Chr3: 45.840675",9.803,"N/A","N/A","N/A",-0.532,146,4.627e-12,"0.48899999999999999","0.373"
123,"ILMN_1762764","SH3BGRL2","SH3 domain binding glutamic acid-rich protein like 2 (SH3BGRL2), mRNA.","Chr6: 80.469973",12.322,"N/A","N/A","N/A",-0.531,146,5.198e-12,"--","-0.127"
124,"ILMN_1703715","PIK3C2A","phosphoinositide-3-kinase, class 2, alpha polypeptide (PIK3C2A), mRNA.","Chr11: 17.069733",7.316,"N/A","N/A","N/A",0.531,146,5.3e-12,"0.36599999999999999","-0.29299999999999998"
125,"ILMN_1765876","ARHGAP24","Rho GTPase activating protein 24 (ARHGAP24), transcript variant 1, mRNA.","ChrUn: 1.000000",7.24,"N/A","N/A","N/A",0.531,146,5.663e-12,"0.29399999999999998","0.48099999999999998"
126,"ILMN_1775042","WDR69","WD repeat domain 69 (WDR69), mRNA.","Chr2: 228.496910",7.097,"N/A","N/A","N/A",-0.529,146,6.36e-12,"--","-0.48599999999999999"
127,"ILMN_1664756","KPNA4","karyopherin alpha 4 (importin alpha 3) (KPNA4), mRNA.","Chr3: 161.700944",11.287,"N/A","N/A","N/A",-0.529,146,6.591e-12,"0.35299999999999998","0.28399999999999997"
