"Index","Record","Symbol","Description","Location","Mean","Max.LRS..","Max.LRS.Location","Additive.Effect..","Sample.r","X.nbsp..nbsp.N","Sample.p.r.","Lit.r","Tissue.r"
22,"ILMN_1809003","CBR1","carbonyl reductase 1 (CBR1), mRNA.","Chr21: 36.366911",7.704,"N/A","N/A","N/A",0.632,146,1.17e-17,"0.53800000000000003","0.41199999999999998"
23,"ILMN_1768486","VPS41","vacuolar protein sorting 41 homolog (S. cerevisiae) (VPS41), transcript variant 2, mRNA.","ChrUn: 1.000000",10.219,"N/A","N/A","N/A",0.627,146,2.457e-17,"--","0.28799999999999998"
24,"ILMN_1738759","PIGT","phosphatidylinositol glycan anchor biosynthesis, class T (PIGT), mRNA.","Chr20: 43.487946",9.497,"N/A","N/A","N/A",0.623,146,4.745e-17,"0.34799999999999998","3.1E-2"
25,"ILMN_1652456","TMEM98","transmembrane protein 98 (TMEM98), transcript variant 1, mRNA.","Chr17: 28.282481",7.123,"N/A","N/A","N/A",0.622,146,5.31e-17,"--","4.2000000000000003E-2"
26,"ILMN_1664798","GRHPR","glyoxylate reductase/hydroxypyruvate reductase (GRHPR), mRNA.","Chr9: 37.426770",8.454,"N/A","N/A","N/A",0.621,146,6.171e-17,"0.47699999999999998","0.80100000000000005"
27,"ILMN_1667430","DEGS1","degenerative spermatocyte homolog 1, lipid desaturase (Drosophila) (DEGS1), transcript variant 1, mRNA.","Chr1: 222.446889",8.596,"N/A","N/A","N/A",0.618,146,9.816e-17,"--","0.49399999999999999"
28,"ILMN_1656621","CHMP2A","charged multivesicular body protein 2A (proposed multi-tissue human housekeeping gene)","Chr19: 63.758169",7.912,"N/A","N/A","N/A",0.618,146,9.849e-17,"0.189","0.189"
29,"ILMN_1803744","SELS","selenoprotein S (SELS), transcript variant 2, mRNA.","Chr15: 99.630489",8.61,"N/A","N/A","N/A",0.617,146,1.072e-16,"0.48299999999999998","--"
30,"ILMN_1763012","PFN1","profilin 1 (PFN1), mRNA.","Chr17: 4.790765",10.749,"N/A","N/A","N/A",0.613,146,2.069e-16,"0.51200000000000001","0.124"
31,"ILMN_1714433","MARCKSL1","MARCKS-like 1 (MARCKSL1), mRNA.","Chr1: 32.572371",13,"N/A","N/A","N/A",0.612,146,2.205e-16,"0.4","-0.47"
32,"ILMN_1808568","PYCR2","pyrroline-5-carboxylate reductase family, member 2 (PYCR2), mRNA.","Chr1: 224.174536",9.635,"N/A","N/A","N/A",0.611,146,2.639e-16,"--","-0.16900000000000001"
33,"ILMN_1721704","FNTA","farnesyltransferase, CAAX box, alpha (FNTA), transcript variant 1, mRNA.","Chr8: 43.059649",11.368,"N/A","N/A","N/A",0.609,146,3.374e-16,"0.17199999999999999","7.0999999999999994E-2"
34,"ILMN_1670263","C1ORF71","chromosome 1 open reading frame 71 (C1orf71), mRNA.","Chr1: 244.896962",13.57,"N/A","N/A","N/A",-0.608,146,3.738e-16,"--","--"
35,"ILMN_1739161","PPAP2A","phosphatidic acid phosphatase type 2A (PPAP2A), transcript variant 1, mRNA.","Chr5: 54.806958",7.679,"N/A","N/A","N/A",0.606,146,5.064e-16,"0.438","-4.5999999999999999E-2"
36,"ILMN_1727080","MYO6","myosin VI (MYO6), mRNA.","Chr6: 76.681376",7.609,"N/A","N/A","N/A",0.606,146,5.674e-16,"0.36799999999999999","0.28499999999999998"
37,"ILMN_1790680","PDE6D","phosphodiesterase 6D, cGMP-specific, rod, delta (PDE6D), mRNA.","Chr2: 232.305624",9.403,"N/A","N/A","N/A",0.604,146,6.722e-16,"0.26300000000000001","-0.56599999999999995"
38,"ILMN_1660519","LOC285382","hypothetical gene supported by AK091454 (LOC285382), mRNA.","Chr3: 186.279006",10.221,"N/A","N/A","N/A",0.604,146,6.785e-16,"--","--"
39,"ILMN_1793743","DIRC2","disrupted in renal carcinoma 2 (DIRC2), mRNA.","Chr3: 124.081121",8.196,"N/A","N/A","N/A",0.604,146,6.868e-16,"--","0.45400000000000001"
40,"ILMN_1682054","SRI","sorcin (SRI), transcript variant 1, mRNA.","Chr7: 87.687236",8.195,"N/A","N/A","N/A",0.603,146,7.783e-16,"--","0.27700000000000002"
41,"ILMN_1679532","GRM3","glutamate receptor, metabotropic 3 (GRM3), mRNA.","Chr7: 86.331571",9.789,"N/A","N/A","N/A",0.603,146,8.376e-16,"0.59099999999999997","0.13300000000000001"
42,"ILMN_1782922","PDE4B","phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila) (PDE4B), transcript variant b, mRNA.","Chr1: 66.611705",7.55,"N/A","N/A","N/A",0.601,146,1.101e-15,"0.66400000000000003","8.6999999999999994E-2"
43,"ILMN_1761093","B3GAT1","beta-1,3-glucuronyltransferase 1 (glucuronosyltransferase P) (B3GAT1), transcript variant 2, mRNA.","Chr11: 133.754175",8.726,"N/A","N/A","N/A",0.6,146,1.176e-15,"0.46","-0.17499999999999999"
44,"ILMN_1773485","QKI","quaking homolog, KH domain RNA binding (mouse) (QKI), transcript variant 3, mRNA.","Chr6: 163.907760",7.718,"N/A","N/A","N/A",0.6,146,1.27e-15,"0.38600000000000001","--"
45,"ILMN_1794595","GAMT","guanidinoacetate N-methyltransferase (GAMT), transcript variant 1, mRNA.","Chr19: 1.350135",8.527,"N/A","N/A","N/A",0.596,146,2.12e-15,"0.55800000000000005","0.49099999999999999"
46,"ILMN_1688868","PPAP2B","phosphatidic acid phosphatase type 2B (PPAP2B), transcript variant 1, mRNA.","Chr1: 56.733575",8.721,"N/A","N/A","N/A",0.595,146,2.318e-15,"0.39700000000000002","0.57499999999999996"
47,"ILMN_1711745","PPIB","peptidylprolyl isomerase B (cyclophilin B) (PPIB), mRNA.","Chr15: 62.235372",11.39,"N/A","N/A","N/A",0.595,146,2.353e-15,"0.45400000000000001","0.44600000000000001"
48,"ILMN_1720501","ABCA9","ATP-binding cassette, sub-family A (ABC1), member 9 (ABCA9), mRNA.","Chr17: 64.492665",7.56,"N/A","N/A","N/A",0.594,146,2.65e-15,"--","0.28799999999999998"
49,"ILMN_1719403","MTX1","metaxin 1 (MTX1), transcript variant 1, mRNA.","Chr1: 153.448558",7.187,"N/A","N/A","N/A",0.594,146,2.761e-15,"0.36899999999999999","-6.2E-2"
50,"ILMN_1733648","SNAP91","synaptosomal-associated protein, 91kDa homolog (mouse) (SNAP91), mRNA.","Chr6: 1.000000",16.349,"N/A","N/A","N/A",-0.592,146,3.681e-15,"--","-0.19"
51,"ILMN_1736135","TYW1","tRNA-yW synthesizing protein 1 homolog (S. cerevisiae) (TYW1), mRNA.","Chr7: 66.341310",7.658,"N/A","N/A","N/A",0.591,146,3.929e-15,"--","0.114"
52,"ILMN_1801476","CDS1","CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1 (CDS1), mRNA.","Chr4: 85.789254",11.188,"N/A","N/A","N/A",-0.591,146,3.98e-15,"0.36599999999999999","-0.38300000000000001"
53,"ILMN_1709666","C3ORF1","chromosome 3 open reading frame 1 (C3orf1), mRNA.","Chr3: 120.725380",11.422,"N/A","N/A","N/A",0.589,146,5.548e-15,"--","--"
54,"ILMN_1676616","PTPRZ1","protein tyrosine phosphatase, receptor-type, Z polypeptide 1 (PTPRZ1), mRNA.","Chr7: 121.488416",10.149,"N/A","N/A","N/A",0.587,146,6.619e-15,"0.44900000000000001","-0.32200000000000001"
55,"ILMN_1727855","PEMT","phosphatidylethanolamine N-methyltransferase (PEMT), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.","Chr17: 17.435571",6.958,"N/A","N/A","N/A",0.587,146,6.871e-15,"0.49399999999999999","0.42699999999999999"
56,"ILMN_1671260","GPR177","G protein-coupled receptor 177 (GPR177), transcript variant 2, mRNA.","Chr1: 68.384231",7.031,"N/A","N/A","N/A",0.587,146,6.913e-15,"--","0.193"
57,"ILMN_1764087","SYPL1","synaptophysin-like 1 (SYPL1), transcript variant 2, mRNA.","Chr7: 105.519514",8.689,"N/A","N/A","N/A",0.586,146,7.375e-15,"--","--"
58,"ILMN_1754912","GLE1L","GLE1 RNA export mediator-like (yeast) (GLE1L), transcript variant 1, mRNA.","Chr9: 130.344264",11.012,"N/A","N/A","N/A",-0.585,146,8.976e-15,"--","-0.12"
59,"ILMN_1751136","MAP1B","microtubule-associated protein 1B (MAP1B), transcript variant 1, mRNA.","Chr5: 71.538436",14.766,"N/A","N/A","N/A",-0.584,146,9.816e-15,"0.44600000000000001","--"
60,"ILMN_1728742","C5ORF4","chromosome 5 open reading frame 4 (C5orf4), transcript variant 2, mRNA.","Chr5: 154.178616",8.243,"N/A","N/A","N/A",0.584,146,1.034e-14,"--","--"
61,"ILMN_1729374","ETFB","electron-transfer-flavoprotein, beta polypeptide (ETFB), transcript variant 1, mRNA.","Chr19: 56.561345",10.135,"N/A","N/A","N/A",0.582,146,1.266e-14,"--","0.76300000000000001"
62,"ILMN_1763972","TJP2","tight junction protein 2 (zona occludens 2) (TJP2), transcript variant 1, mRNA.","Chr9: 71.055900",7.364,"N/A","N/A","N/A",0.581,146,1.544e-14,"--","2.7E-2"
63,"ILMN_1725485","RGS17","regulator of G-protein signalling 17 (RGS17), mRNA.","Chr6: 153.373768",10.473,"N/A","N/A","N/A",-0.58,146,1.643e-14,"0.29799999999999999","-0.25900000000000001"
64,"ILMN_1808157","RPIB9","Rap2-binding protein 9 (RPIB9), mRNA.","Chr7: 87.297603",12.024,"N/A","N/A","N/A",-0.58,146,1.725e-14,"--","--"
65,"ILMN_1691290","CELSR3","cadherin, EGF LAG seven-pass G-type receptor 3 (flamingo homolog, Drosophila) (CELSR3), mRNA.","Chr3: 48.648930",13.183,"N/A","N/A","N/A",-0.578,146,2.293e-14,"0.441","-0.23100000000000001"
66,"ILMN_1659753","LAMP2","lysosomal-associated membrane protein 2 (LAMP2), transcript variant LAMP2A, mRNA.","ChrX: 119.459696",7.825,"N/A","N/A","N/A",0.577,146,2.483e-14,"0.40600000000000003","0.69899999999999995"
67,"ILMN_1678579","CPT2","carnitine palmitoyltransferase II (CPT2), nuclear gene encoding mitochondrial protein, mRNA.","Chr1: 53.452206",7.838,"N/A","N/A","N/A",0.576,146,2.997e-14,"0.45400000000000001","0.55400000000000005"
68,"ILMN_1682270","FGFR2","fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome) (FGFR2), transcript variant 4, mRNA.","Chr10: 123.287913",6.832,"N/A","N/A","N/A",0.571,146,5.561e-14,"0.32","8.3000000000000004E-2"
69,"ILMN_1813314","HIST1H2BK","histone cluster 1, H2bk (HIST1H2BK), mRNA.","Chr6: 27.222496",6.848,"N/A","N/A","N/A",0.57,146,6.038e-14,"--","0.14199999999999999"
70,"ILMN_1783931","PPAP2A","phosphatidic acid phosphatase type 2A (PPAP2A), transcript variant 2, mRNA.","Chr5: 54.756746",9.126,"N/A","N/A","N/A",0.57,146,6.2e-14,"0.438","-4.5999999999999999E-2"
71,"ILMN_1684576","C8ORF61","chromosome 8 open reading frame 61 (C8orf61), mRNA.","Chr8: 1.721711",7.677,"N/A","N/A","N/A",0.569,146,6.68e-14,"--","--"
72,"ILMN_1743747","RUSC1","RUN and SH3 domain containing 1 (RUSC1), mRNA.","Chr1: 153.567467",14.235,"N/A","N/A","N/A",-0.569,146,6.849e-14,"--","3.9E-2"
73,"ILMN_1781260","TTC19","tetratricopeptide repeat domain 19 (TTC19), mRNA.","Chr17: 15.872702",11.43,"N/A","N/A","N/A",-0.568,146,7.333e-14,"--","0.22800000000000001"
74,"ILMN_1697787","HIP1","huntingtin interacting protein 1 (HIP1), mRNA.","Chr7: 75.001380",7.513,"N/A","N/A","N/A",0.568,146,7.359e-14,"0.42","3.5999999999999997E-2"
75,"ILMN_1658469","TP53AP1","TP53 activated protein 1 (TP53AP1), mRNA.","Chr7: 86.812428",7.163,"N/A","N/A","N/A",0.567,146,8.218e-14,"--","--"
76,"ILMN_1698121","ISOC1","isochorismatase domain containing 1 (ISOC1), mRNA.","ChrUn: 1.000000",7.331,"N/A","N/A","N/A",0.567,146,8.267e-14,"0.28399999999999997","0.39300000000000002"
77,"ILMN_1782878","LRRC8D","leucine rich repeat containing 8 family, member D (LRRC8D), mRNA.","Chr1: 90.173692",9.014,"N/A","N/A","N/A",0.567,146,8.272e-14,"--","0.42299999999999999"
78,"ILMN_1683865","IFIT3","interferon-induced protein with tetratricopeptide repeats 3 (IFIT3), mRNA.","Chr10: 91.077758",6.944,"N/A","N/A","N/A",0.566,146,9.619e-14,"--","0.33400000000000002"
79,"ILMN_1731619","DAD1","defender against cell death 1 (DAD1), mRNA.","Chr14: 22.113868",12.949,"N/A","N/A","N/A",0.565,146,1.099e-13,"0.38500000000000001","0.13500000000000001"
80,"ILMN_1758938","SLC31A2","solute carrier family 31 (copper transporters), member 2 (SLC31A2), mRNA.","ChrUn: 1.000000",8.798,"N/A","N/A","N/A",0.564,146,1.184e-13,"--","3.3000000000000002E-2"
81,"ILMN_1685194","CLDN10","claudin 10 (CLDN10), transcript variant 2, mRNA.","Chr13: 95.003169",7.932,"N/A","N/A","N/A",0.564,146,1.192e-13,"0.32800000000000001","-7.3999999999999996E-2"
82,"ILMN_1757910","HIP1R","huntingtin interacting protein 1 related (HIP1R), mRNA.","ChrUn: 1.000000",7.058,"N/A","N/A","N/A",0.563,146,1.461e-13,"0.36699999999999999","-7.2999999999999995E-2"
83,"ILMN_1679858","CD9","CD9 molecule (CD9), mRNA.","Chr12: 6.217231",11.062,"N/A","N/A","N/A",0.562,146,1.568e-13,"0.38600000000000001","4.7E-2"
84,"ILMN_1802338","HHLA3","HERV-H LTR-associating 3 (HHLA3), transcript variant 4, mRNA.","Chr1: 70.593264",6.975,"N/A","N/A","N/A",0.562,146,1.589e-13,"--","--"
85,"ILMN_1667213","DFFA","DNA fragmentation factor, 45kDa, alpha polypeptide (DFFA), transcript variant 1, mRNA.","Chr1: 10.443993",8.095,"N/A","N/A","N/A",0.562,146,1.618e-13,"0.47099999999999997","8.6999999999999994E-2"
86,"ILMN_1715635","ATP6V0E1","ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1 (ATP6V0E1), mRNA.","Chr5: 172.379849",8.61,"N/A","N/A","N/A",0.561,146,1.746e-13,"0.223","--"
87,"ILMN_1751904","EDNRB","endothelin receptor type B (EDNRB), transcript variant 2, mRNA.","Chr13: 77.372706",7.957,"N/A","N/A","N/A",0.56,146,1.891e-13,"0.40200000000000002","0.46899999999999997"
88,"ILMN_1682935","LYPLAL1","lysophospholipase-like 1 (LYPLAL1), mRNA.","Chr1: 217.413915",7.826,"N/A","N/A","N/A",0.559,146,2.125e-13,"--","0.55300000000000005"
89,"ILMN_1792660","CAMSAP1L1","calmodulin regulated spectrin-associated protein 1-like 1 (CAMSAP1L1), mRNA.","Chr1: 199.096276",12.474,"N/A","N/A","N/A",-0.559,146,2.21e-13,"0.221","-0.63800000000000001"
90,"ILMN_1672608","PPAP2B","phosphatidic acid phosphatase type 2B (PPAP2B), transcript variant 1, mRNA.","Chr1: 56.817352",7.085,"N/A","N/A","N/A",0.558,146,2.393e-13,"0.39700000000000002","0.57499999999999996"
91,"ILMN_1703132","LYRM2","LYR motif containing 2 (LYRM2), mRNA.","ChrUn: 1.000000",8.911,"N/A","N/A","N/A",0.558,146,2.453e-13,"--","0.55700000000000005"
92,"ILMN_1665235","CRTAP","cartilage associated protein (CRTAP), mRNA.","ChrUn: 1.000000",7.484,"N/A","N/A","N/A",0.558,146,2.501e-13,"0.45600000000000002","0.25900000000000001"
93,"ILMN_1663627","ELMO1","engulfment and cell motility 1 (ELMO1), transcript variant 1, mRNA.","Chr7: 37.019536",6.91,"N/A","N/A","N/A",0.554,146,4.187e-13,"0.38800000000000001","-0.52100000000000002"
94,"ILMN_1743299","PXMP3","peroxisomal membrane protein 3, 35kDa (Zellweger syndrome) (PXMP3), transcript variant 2, mRNA.","ChrUn: 1.000000",8.586,"N/A","N/A","N/A",0.553,146,4.723e-13,"0.46400000000000002","0.64900000000000002"
95,"ILMN_1673282","LAMP2","lysosomal-associated membrane protein 2 (LAMP2), transcript variant LAMP2A, mRNA.","ChrX: 119.449280",8.614,"N/A","N/A","N/A",0.552,146,4.955e-13,"0.40600000000000003","0.69899999999999995"
96,"ILMN_1727992","FEZ1","fasciculation and elongation protein zeta 1 (zygin I) (FEZ1), transcript variant 1, mRNA.","Chr11: 124.864600",10.935,"N/A","N/A","N/A",0.551,146,5.905e-13,"0.46300000000000002","-0.28299999999999997"
97,"ILMN_1799104","SPAG9","sperm associated antigen 9 (SPAG9), transcript variant 1, mRNA.","Chr17: 46.398579",9.368,"N/A","N/A","N/A",0.55,146,6.482e-13,"--","0.13700000000000001"
98,"ILMN_1749212","KUA-UEV","ubiquitin-conjugating enzyme E2 variant 1 (Kua-UEV), transcript variant 1, mRNA.","Chr20: 48.193506",7,"N/A","N/A","N/A",0.549,146,7.638e-13,"--","--"
99,"ILMN_1777296","ACTB","actin, beta (ACTB), mRNA.","Chr7: 5.534602",14.58,"N/A","N/A","N/A",0.548,146,7.848e-13,"0.438","-6.0999999999999999E-2"
100,"ILMN_1665335","DIABLO","diablo homolog (Drosophila) (DIABLO), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA.","Chr12: 121.275170",7.212,"N/A","N/A","N/A",0.547,146,8.766e-13,"0.36899999999999999","-0.245"
101,"ILMN_1789283","PPP2R5C","protein phosphatase 2, regulatory subunit B', gamma isoform (PPP2R5C), transcript variant 4, mRNA.","Chr14: 101.430630",7.584,"N/A","N/A","N/A",0.547,146,8.836e-13,"0.33700000000000002","-0.17100000000000001"
102,"ILMN_1737272","MOG","myelin oligodendrocyte glycoprotein (MOG), transcript variant beta4, mRNA.","Chr6: 29.747535",7.777,"N/A","N/A","N/A",0.547,146,9.083e-13,"0.40100000000000002","-0.12"
103,"ILMN_1760245","TMEM42","transmembrane protein 42 (TMEM42), mRNA.","Chr3: 44.881919",8.509,"N/A","N/A","N/A",0.546,146,9.855e-13,"--","0.318"
104,"ILMN_1773935","TMEM165","transmembrane protein 165 (TMEM165), mRNA.","Chr4: 55.986642",7.655,"N/A","N/A","N/A",0.546,146,1e-12,"--","0.35099999999999998"
105,"ILMN_1668398","ZMYND17","zinc finger, MYND-type containing 17 (ZMYND17), mRNA.","Chr10: 74.853749",7.316,"N/A","N/A","N/A",-0.546,146,1.007e-12,"--","-0.24099999999999999"
106,"ILMN_1814333","SERPINI1","serpin peptidase inhibitor, clade I (neuroserpin), member 1 (SERPINI1), mRNA.","Chr3: 168.995188",8.76,"N/A","N/A","N/A",0.546,146,1.012e-12,"0.45","-0.224"
107,"ILMN_1708516","PRTFDC1","phosphoribosyl transferase domain containing 1 (PRTFDC1), mRNA.","Chr10: 25.177959",8.166,"N/A","N/A","N/A",0.545,146,1.089e-12,"--","--"
108,"ILMN_1749962","NCAM2","neural cell adhesion molecule 2 (NCAM2), mRNA.","Chr21: 21.832517",8.237,"N/A","N/A","N/A",0.545,146,1.115e-12,"0.37","0.29799999999999999"
109,"ILMN_1710070","PCSK6","proprotein convertase subtilisin/kexin type 6 (PCSK6), transcript variant 6, mRNA.","Chr15: 99.742115",6.74,"N/A","N/A","N/A",0.545,146,1.122e-12,"0.39700000000000002","0.48799999999999999"
110,"ILMN_1730765","DUSP22","dual specificity phosphatase 22 (DUSP22), mRNA.","Chr6: 0.256945",6.94,"N/A","N/A","N/A",0.545,146,1.188e-12,"0.22800000000000001","0.20599999999999999"
111,"ILMN_1675038","PRMT2","protein arginine methyltransferase 2 (PRMT2), transcript variant 1, mRNA.","Chr21: 46.908950",9.974,"N/A","N/A","N/A",0.545,146,1.192e-12,"0.49","-6.0999999999999999E-2"
112,"ILMN_1767446","RNF150","ring finger protein 150 (RNF150), mRNA.","Chr4: 142.006214",11.42,"N/A","N/A","N/A",-0.544,146,1.352e-12,"--","1.4E-2"
113,"ILMN_1768431","PRKCE","protein kinase C, epsilon (PRKCE), mRNA.","Chr2: 46.268137",10.985,"N/A","N/A","N/A",-0.543,146,1.374e-12,"0.34499999999999997","7.3999999999999996E-2"
114,"ILMN_1777721","MAPRE1","microtubule-associated protein, RP/EB family, member 1 (MAPRE1), mRNA.","Chr20: 30.901489",10.528,"N/A","N/A","N/A",0.543,146,1.489e-12,"0.32100000000000001","-0.183"
115,"ILMN_1796801","ABCA8","ATP-binding cassette, sub-family A (ABC1), member 8 (ABCA8), mRNA.","Chr17: 64.375585",8.156,"N/A","N/A","N/A",0.542,146,1.529e-12,"--","--"
116,"ILMN_1754045","FANCL","Fanconi anemia, complementation group L (FANCL), mRNA.","Chr2: 58.243698",7.68,"N/A","N/A","N/A",0.542,146,1.655e-12,"0.41699999999999998","-3.6999999999999998E-2"
117,"ILMN_1768705","SYT4","synaptotagmin IV (SYT4), mRNA.","Chr18: 39.101915",18.073,"N/A","N/A","N/A",-0.541,146,1.727e-12,"--","-0.106"
118,"ILMN_1797813","SUZ12","suppressor of zeste 12 homolog (Drosophila) (SUZ12), mRNA.","Chr17: 27.351688",13.377,"N/A","N/A","N/A",-0.541,146,1.778e-12,"--","-0.223"
119,"ILMN_1739235","OMG","oligodendrocyte myelin glycoprotein (OMG), mRNA.","Chr17: 26.646112",10.002,"N/A","N/A","N/A",0.541,146,1.799e-12,"0.35199999999999998","-0.15"
120,"ILMN_1732750","CHCHD8","coiled-coil-helix-coiled-coil-helix domain containing 8 (CHCHD8), mRNA.","Chr11: 73.261765",7.367,"N/A","N/A","N/A",0.541,146,1.81e-12,"--","-6.7000000000000004E-2"
121,"ILMN_1687074","CDC14B","CDC14 cell division cycle 14 homolog B (S. cerevisiae) (CDC14B), transcript variant 3, mRNA.","ChrUn: 1.000000",7.446,"N/A","N/A","N/A",0.541,146,1.846e-12,"0.27100000000000002","0.35699999999999998"
122,"ILMN_1766499","HSPA2","heat shock 70kDa protein 2 (HSPA2), mRNA.","Chr14: 64.079042",9.029,"N/A","N/A","N/A",0.541,146,1.848e-12,"0.34100000000000003","-0.48599999999999999"
123,"ILMN_1694130","CLDN11","claudin 11 (oligodendrocyte transmembrane protein) (CLDN11), mRNA.","Chr3: 171.634072",7.9,"N/A","N/A","N/A",0.54,146,1.935e-12,"0.41499999999999998","-0.29299999999999998"
124,"ILMN_1689296","ARMC10","armadillo repeat containing 10 (ARMC10), mRNA.","Chr7: 102.503514",6.98,"N/A","N/A","N/A",0.54,146,1.999e-12,"--","0.114"
125,"ILMN_1748471","RPLP0","ribosomal protein, large, P0 (RPLP0), transcript variant 2, mRNA.","Chr12: 119.123020",8.075,"N/A","N/A","N/A",0.538,146,2.517e-12,"--","--"
126,"ILMN_1753026","PRG-3","plasticity related gene 3 (PRG-3), transcript variant 2, mRNA.","Chr9: 103.126851",8.52,"N/A","N/A","N/A",0.537,146,2.735e-12,"0.36599999999999999","--"
127,"ILMN_1669674","TNRC5","trinucleotide repeat containing 5 (TNRC5), transcript variant 1, mRNA.","Chr6: 43.010230",7.649,"N/A","N/A","N/A",0.537,146,2.762e-12,"0.217","0.06"
