TF_NAME	MATRIX_ID	Z_SCORE	P_VALUE	SAMPLE_AVERAGE	BACKGROUND_AVERAGE	SAMPLE_DEVSTD	SAMPLE_SIZE
HOXC10	MA0905.1	1.21291	0.112578	0.928121	0.866999	0.928121	1
RORA	MA0071.1	1.21209	0.112735	0.918365	0.859523	0.918365	1
IRF1	MA0050.2	1.21192	0.112767	0.847315	0.786113	0.847315	1
HLF	MA0043.2	1.19976	0.115113	0.900119	0.842963	0.900119	1
Pou5f1::Sox2	MA0142.1	1.19683	0.115683	0.841683	0.786097	0.841683	1
DLX6	MA0882.1	1.1956	0.115924	0.981389	0.912442	0.981389	1
LBX2	MA0699.1	1.19434	0.11617	0.943925	0.883676	0.943925	1
Dlx1	MA0879.1	1.18899	0.117218	0.964793	0.902694	0.964793	1
TEF	MA0843.1	1.17437	0.120119	0.868549	0.806223	0.868549	1
PHOX2A	MA0713.1	1.16844	0.121311	0.894073	0.820279	0.894073	1
NFIL3	MA0025.1	1.16565	0.121875	0.895061	0.828104	0.895061	1
ZNF384	MA1125.1	1.16129	0.122759	0.989005	0.880273	0.989005	1
ISX	MA0654.1	1.15731	0.123569	0.969049	0.890215	0.969049	1
Hoxb5	MA0904.1	1.15731	0.12357	0.840699	0.783438	0.840699	1
HOXA2	MA0900.1	1.15687	0.123658	0.950463	0.900316	0.950463	1
ESX1	MA0644.1	1.15629	0.123777	0.945661	0.885229	0.945661	1
RXRG	MA0856.1	1.1466	0.125769	0.805405	0.756432	0.805405	1
SNAI2	MA0745.1	1.14057	0.127022	0.980422	0.926893	0.980422	1
POU4F3	MA0791.1	1.13198	0.128817	0.829129	0.758941	0.829129	1
NKX6-2	MA0675.1	1.11655	0.132089	0.977828	0.915201	0.977828	1
ZBTB7C	MA0695.1	1.1149	0.132442	0.884849	0.841393	0.884849	1
LHX9	MA0701.1	1.09953	0.135765	0.973868	0.918217	0.973868	1
Shox2	MA0720.1	1.09856	0.135976	0.967226	0.899017	0.967226	1
DUX4	MA0468.1	1.09698	0.136321	0.897134	0.840227	0.897134	1
GATA6	MA1104.1	1.09432	0.136904	0.899791	0.844189	0.899791	1
NR2F1	MA0017.2	1.07546	0.14108	0.899357	0.844972	0.899357	1
BSX	MA0876.1	1.0754	0.141094	0.979892	0.926768	0.979892	1
MIXL1	MA0662.1	1.06669	0.143052	0.957066	0.899499	0.957066	1
TFAP2A	MA0003.3	1.05813	0.144995	0.939239	0.892261	0.939239	1
RAX2	MA0717.1	1.05362	0.146025	0.963133	0.902488	0.963133	1
ZNF282	MA1154.1	1.0452	0.147961	0.800413	0.761944	0.800413	1
Rxra	MA0512.2	1.04419	0.148196	0.794654	0.749353	0.794654	1
PRRX1	MA0716.1	1.03367	0.150643	0.962678	0.898831	0.962678	1
Prrx2	MA0075.2	1.03267	0.150875	0.963747	0.905281	0.963747	1
NKX6-1	MA0674.1	1.02543	0.152576	0.963994	0.906189	0.963994	1
RAX	MA0718.1	1.02373	0.152978	0.941151	0.88291	0.941151	1
SHOX	MA0630.1	1.02072	0.153691	0.967608	0.905998	0.967608	1
DBP	MA0639.1	1.01888	0.154126	0.871997	0.817255	0.871997	1
GATA2	MA0036.3	1.01736	0.154489	0.91841	0.861376	0.91841	1
EN1	MA0027.2	1.01608	0.154791	0.959682	0.905855	0.959682	1
Foxj2	MA0614.1	1.00746	0.156854	0.95516	0.897954	0.95516	1
GSX1	MA0892.1	1.00643	0.157102	0.945551	0.900909	0.945551	1
HESX1	MA0894.1	1.00466	0.157526	0.934515	0.873251	0.934515	1
TBX21	MA0690.1	1.00096	0.158418	0.878274	0.833105	0.878274	1
Nobox	MA0125.1	1.00059	0.15851	0.95169	0.897791	0.95169	1
Nkx3-1	MA0124.2	0.987748	0.161634	0.913067	0.868249	0.913067	1
Hoxd3	MA0912.1	0.974493	0.164902	0.865014	0.820051	0.865014	1
GATA5	MA0766.1	0.963055	0.167756	0.965171	0.917448	0.965171	1
BHLHE41	MA0636.1	0.958816	0.168822	0.852737	0.802531	0.852737	1
Hoxd9	MA0913.1	0.958279	0.168958	0.940641	0.894401	0.940641	1
LMX1B	MA0703.1	0.955603	0.169633	0.958108	0.901656	0.958108	1
GSX2	MA0893.1	0.955042	0.169775	0.93887	0.890394	0.93887	1
NKX3-2	MA0122.2	0.939379	0.173765	0.921504	0.879097	0.921504	1
EWSR1-FLI1	MA0149.1	0.936483	0.174509	0.764575	0.713961	0.764575	1
PDX1	MA0132.2	0.925649	0.177311	0.96825	0.911177	0.96825	1
PLAG1	MA0163.1	0.915028	0.180085	0.861611	0.819627	0.861611	1
Lhx8	MA0705.1	0.912272	0.180809	0.948226	0.900203	0.948226	1
FOSL2	MA0478.1	0.909371	0.181574	0.903722	0.858003	0.903722	1
RXRB	MA0855.1	0.902077	0.183504	0.785476	0.746221	0.785476	1
Neurog1	MA0623.1	0.894757	0.185455	0.908779	0.878424	0.908779	1
TBX2	MA0688.1	0.891461	0.186337	0.885916	0.849951	0.885916	1
HOXB2	MA0902.1	0.890629	0.186561	0.95618	0.913471	0.95618	1
GATA3	MA0037.3	0.888359	0.18717	0.952713	0.903668	0.952713	1
Stat6	MA0520.1	0.88313	0.188579	0.882883	0.842672	0.882883	1
RORA(var.2)	MA0072.1	0.877374	0.190138	0.841824	0.80084	0.841824	1
UNCX	MA0721.1	0.875321	0.190696	0.952769	0.90094	0.952769	1
ELF3	MA0640.1	0.873516	0.191188	0.826951	0.789878	0.826951	1
MEOX1	MA0661.1	0.86858	0.192535	0.918711	0.873514	0.918711	1
POU6F1	MA0628.1	0.867855	0.192733	0.884635	0.825825	0.884635	1
POU4F2	MA0683.1	0.861232	0.194552	0.780887	0.731363	0.780887	1
HOXB3	MA0903.1	0.85831	0.195357	0.955734	0.913208	0.955734	1
OTX1	MA0711.1	0.856795	0.195776	0.946312	0.901144	0.946312	1
HMBOX1	MA0895.1	0.852449	0.196979	0.903541	0.864855	0.903541	1
HNF1B	MA0153.2	0.851609	0.197212	0.81975	0.768871	0.81975	1
Sox3	MA0514.1	0.845267	0.198977	0.93917	0.904679	0.93917	1
EMX2	MA0886.1	0.84417	0.199284	0.914846	0.868206	0.914846	1
Arx	MA0874.1	0.842922	0.199632	0.813497	0.771168	0.813497	1
Gata4	MA0482.1	0.840489	0.200314	0.914194	0.87877	0.914194	1
Pitx1	MA0682.1	0.834523	0.20199	0.948074	0.906073	0.948074	1
EBF1	MA0154.3	0.832447	0.202575	0.835163	0.796424	0.835163	1
ALX3	MA0634.1	0.825786	0.204459	0.920746	0.874948	0.920746	1
Arid3a	MA0151.1	0.813619	0.207928	1	0.946173	1	1
MAFG::NFE2L1	MA0089.1	0.793919	0.213618	0.996016	0.964363	0.996016	1
INSM1	MA0155.1	0.790959	0.214481	0.903897	0.873806	0.903897	1
ZNF263	MA0528.1	0.790354	0.214657	0.87802	0.844266	0.87802	1
BATF::JUN	MA0462.1	0.788562	0.215181	0.893363	0.856229	0.893363	1
VAX2	MA0723.1	0.779171	0.217936	0.937606	0.896548	0.937606	1
MYBL1	MA0776.1	0.777807	0.218338	0.802572	0.769557	0.802572	1
USF1	MA0093.2	0.761683	0.223121	0.885514	0.848885	0.885514	1
LHX6	MA0658.1	0.757335	0.224421	0.88753	0.846625	0.88753	1
NOTO	MA0710.1	0.752177	0.225969	0.928989	0.891091	0.928989	1
Nr2e1	MA0676.1	0.740612	0.229461	0.907346	0.871319	0.907346	1
EOMES	MA0800.1	0.729211	0.232933	0.849023	0.817896	0.849023	1
PBX1	MA0070.1	0.72746	0.233469	0.852151	0.818479	0.852151	1
ZNF354C	MA0130.1	0.725812	0.233974	1	0.982218	1	1
Alx1	MA0854.1	0.716521	0.236832	0.821271	0.783389	0.821271	1
FOXO3	MA0157.2	0.710311	0.238752	0.906302	0.865636	0.906302	1
ZNF24	MA1124.1	0.704597	0.240527	0.795607	0.751675	0.795607	1
ONECUT3	MA0757.1	0.701434	0.241513	0.819882	0.775372	0.819882	1
Nr2f6(var.2)	MA0728.1	0.699643	0.242072	0.785377	0.749561	0.785377	1
RORC	MA1151.1	0.691938	0.244485	0.887096	0.860276	0.887096	1
PAX9	MA0781.1	0.689119	0.245371	0.766908	0.742656	0.766908	1
STAT1	MA0137.3	0.687574	0.245857	0.890207	0.856896	0.890207	1
MEF2A	MA0052.3	0.682958	0.247314	0.865146	0.819193	0.865146	1
VAX1	MA0722.1	0.675065	0.249814	0.935955	0.899685	0.935955	1
EMX1	MA0612.1	0.672361	0.250674	0.917106	0.881768	0.917106	1
GRHL2	MA1105.1	0.671756	0.250866	0.819698	0.787891	0.819698	1
FOS::JUN(var.2)	MA1126.1	0.66399	0.253345	0.804488	0.775282	0.804488	1
HSF1	MA0486.2	0.65843	0.255128	0.80473	0.771586	0.80473	1
Hoxd8	MA0910.1	0.658025	0.255258	0.80845	0.770081	0.80845	1
SOX15	MA1152.1	0.654525	0.256384	0.938952	0.908677	0.938952	1
PITX3	MA0714.1	0.653225	0.256803	0.926073	0.893945	0.926073	1
FOSL1::JUND(var.2)	MA1143.1	0.641097	0.260727	0.866406	0.836776	0.866406	1
Alx4	MA0853.1	0.640754	0.260838	0.810629	0.778336	0.810629	1
Arid3b	MA0601.1	0.63951	0.261242	0.899473	0.853936	0.899473	1
Foxq1	MA0040.1	0.63393	0.26306	0.885839	0.850809	0.885839	1
Nfe2l2	MA0150.2	0.626921	0.265352	0.799734	0.773443	0.799734	1
PAX1	MA0779.1	0.616148	0.268895	0.785497	0.765737	0.785497	1
SPIC	MA0687.1	0.614063	0.269584	0.854249	0.830007	0.854249	1
THAP1	MA0597.1	0.612974	0.269944	0.951468	0.935132	0.951468	1
LMX1A	MA0702.1	0.607916	0.271618	0.903856	0.8636	0.903856	1
Lhx4	MA0704.1	0.606302	0.272154	0.92621	0.893745	0.92621	1
TBP	MA0108.2	0.600209	0.27418	0.88042	0.853462	0.88042	1
EVX2	MA0888.1	0.594888	0.275956	0.91573	0.88846	0.91573	1
SREBF2(var.2)	MA0828.1	0.592285	0.276827	0.842042	0.8121	0.842042	1
ZBED1	MA0749.1	0.589898	0.277627	0.748286	0.7249	0.748286	1
MAFF	MA0495.2	0.584696	0.279373	0.726617	0.70258	0.726617	1
ZEB1	MA0103.3	0.581063	0.280596	0.936615	0.904537	0.936615	1
RARA::RXRG	MA1149.1	0.576339	0.28219	0.829323	0.808891	0.829323	1
ZBTB7B	MA0694.1	0.57481	0.282707	0.841636	0.816841	0.841636	1
Foxd3	MA0041.1	0.566778	0.28543	0.914452	0.884841	0.914452	1
FOXB1	MA0845.1	0.564986	0.286039	0.876057	0.843018	0.876057	1
MEF2C	MA0497.1	0.564376	0.286246	0.881295	0.850039	0.881295	1
MEOX2	MA0706.1	0.558808	0.288143	0.909175	0.880536	0.909175	1
IRF9	MA0653.1	0.552641	0.290252	0.745362	0.719987	0.745362	1
Stat4	MA0518.1	0.549983	0.291163	0.884278	0.860454	0.884278	1
FOXD1	MA0031.1	0.544127	0.293174	0.909291	0.878039	0.909291	1
LHX2	MA0700.1	0.543967	0.293229	0.889855	0.860424	0.889855	1
HNF1A	MA0046.2	0.542444	0.293754	0.812066	0.779776	0.812066	1
MZF1	MA0056.1	0.53581	0.296042	1	0.98498	1	1
POU1F1	MA0784.1	0.534103	0.296632	0.810503	0.779427	0.810503	1
OTX2	MA0712.1	0.527642	0.298871	0.934097	0.905918	0.934097	1
BACH2	MA1101.1	0.523259	0.300394	0.813233	0.788797	0.813233	1
USF2	MA0526.2	0.517703	0.30233	0.825561	0.799035	0.825561	1
BHLHE40	MA0464.2	0.513911	0.303654	0.864755	0.836981	0.864755	1
GSC2	MA0891.1	0.512394	0.304185	0.908957	0.886832	0.908957	1
NFIC::TLX1	MA0119.1	0.507588	0.305869	0.791028	0.766802	0.791028	1
HOXA10	MA0899.1	0.504207	0.307055	0.895615	0.86806	0.895615	1
RORB	MA1150.1	0.504005	0.307126	0.877534	0.856822	0.877534	1
FOXC1	MA0032.2	0.502431	0.30768	0.899972	0.871903	0.899972	1
EVX1	MA0887.1	0.502075	0.307805	0.914023	0.891353	0.914023	1
MAFK	MA0496.2	0.494183	0.310586	0.741909	0.722228	0.741909	1
PROX1	MA0794.1	0.476743	0.31677	0.804349	0.784859	0.804349	1
Tcf12	MA0521.1	0.463389	0.32154	0.911453	0.888324	0.911453	1
ZBTB33	MA0527.1	0.457235	0.323749	0.809447	0.786726	0.809447	1
Srebf1(var.2)	MA0829.1	0.455378	0.324416	0.841063	0.817923	0.841063	1
NR1H2::RXRA	MA0115.1	0.455231	0.324469	0.720452	0.701457	0.720452	1
Myog	MA0500.1	0.454626	0.324687	0.919672	0.896577	0.919672	1
RHOXF1	MA0719.1	0.448624	0.326849	0.980463	0.969985	0.980463	1
VSX1	MA0725.1	0.447529	0.327244	0.915533	0.887285	0.915533	1
ONECUT2	MA0756.1	0.440652	0.32973	0.80264	0.776332	0.80264	1
FOSB::JUN	MA1127.1	0.439607	0.330108	0.806853	0.78378	0.806853	1
ELF5	MA0136.2	0.431204	0.333158	0.898926	0.882938	0.898926	1
NFKB1	MA0105.4	0.428976	0.333968	0.774412	0.751965	0.774412	1
FOSL1	MA0477.1	0.425063	0.335393	0.872462	0.851326	0.872462	1
RARA	MA0729.1	0.423372	0.33601	0.743974	0.726214	0.743974	1
Hand1::Tcf3	MA0092.1	0.417717	0.338075	0.918978	0.9048	0.918978	1
Lhx3	MA0135.1	0.414794	0.339144	0.851295	0.826096	0.851295	1
JDP2(var.2)	MA0656.1	0.412108	0.340128	0.790502	0.768125	0.790502	1
SRY	MA0084.1	0.399637	0.34471	0.932683	0.914513	0.932683	1
ZBTB18	MA0698.1	0.392344	0.3474	0.843289	0.825515	0.843289	1
Esrra	MA0592.2	0.390915	0.347928	0.810594	0.791625	0.810594	1
NFATC3	MA0625.1	0.382405	0.351078	0.911927	0.894744	0.911927	1
OLIG3	MA0827.1	0.37533	0.353705	0.866463	0.850208	0.866463	1
SPI1	MA0080.4	0.372601	0.354721	0.786935	0.769928	0.786935	1
CLOCK	MA0819.1	0.367403	0.356657	0.851467	0.835754	0.851467	1
FOXC2	MA0846.1	0.363419	0.358144	0.886506	0.86587	0.886506	1
MLX	MA0663.1	0.363368	0.358163	0.821021	0.802846	0.821021	1
LBX1	MA0618.1	0.363035	0.358287	0.907888	0.887824	0.907888	1
Smad4	MA1153.1	0.360144	0.359368	0.909574	0.889054	0.909574	1
ATF7	MA0834.1	0.356931	0.36057	0.775674	0.756604	0.775674	1
Sox6	MA0515.1	0.356553	0.360711	0.911191	0.895321	0.911191	1
E2F3	MA0469.2	0.351072	0.362765	0.741102	0.72776	0.741102	1
Foxj3	MA0851.1	0.348987	0.363548	0.844562	0.825342	0.844562	1
POU6F2	MA0793.1	0.346587	0.364449	0.864033	0.84461	0.864033	1
POU3F3	MA0788.1	0.343638	0.365557	0.830018	0.809472	0.830018	1
Rarg	MA0859.1	0.325574	0.372372	0.757348	0.741035	0.757348	1
GSC	MA0648.1	0.321103	0.374065	0.889434	0.873837	0.889434	1
EHF	MA0598.2	0.321086	0.374071	0.817182	0.803042	0.817182	1
VSX2	MA0726.1	0.31928	0.374755	0.892894	0.872273	0.892894	1
Twist2	MA0633.1	0.316531	0.375798	0.862968	0.845242	0.862968	1
IRF7	MA0772.1	0.315315	0.376259	0.810793	0.795775	0.810793	1
Dux	MA0611.1	0.313524	0.376939	0.906332	0.88607	0.906332	1
Ddit3::Cebpa	MA0019.1	0.307492	0.379233	0.869101	0.856989	0.869101	1
KLF13	MA0657.1	0.303363	0.380805	0.767364	0.75523	0.767364	1
IRF3	MA1418.1	0.289959	0.385922	0.744337	0.732481	0.744337	1
CREB1	MA0018.3	0.286847	0.387113	0.822288	0.805546	0.822288	1
TWIST1	MA1123.1	0.278685	0.390242	0.863661	0.850544	0.863661	1
NKX2-8	MA0673.1	0.276126	0.391224	0.931336	0.922188	0.931336	1
FOSB::JUNB(var.2)	MA1136.1	0.273481	0.39224	0.82245	0.8087	0.82245	1
STAT1::STAT2	MA0517.1	0.27117	0.393129	0.829057	0.81663	0.829057	1
POU2F1	MA0785.1	0.271147	0.393137	0.841362	0.82559	0.841362	1
HSF2	MA0770.1	0.267817	0.394419	0.79798	0.784852	0.79798	1
GLIS1	MA0735.1	0.267257	0.394634	0.730352	0.719293	0.730352	1
GRHL1	MA0647.1	0.264982	0.39551	0.796622	0.783785	0.796622	1
FOXA1	MA0148.3	0.263098	0.396236	0.864906	0.852327	0.864906	1
Atf3	MA0605.1	0.255596	0.39913	0.873198	0.861054	0.873198	1
ONECUT1	MA0679.1	0.25398	0.399754	0.79295	0.777811	0.79295	1
SRF	MA0083.3	0.242918	0.404033	0.726017	0.715119	0.726017	1
Stat5a::Stat5b	MA0519.1	0.239281	0.405442	0.887146	0.876657	0.887146	1
TFCP2	MA0145.3	0.237565	0.406108	0.840585	0.830422	0.840585	1
E2F2	MA0864.1	0.236119	0.406669	0.725619	0.715794	0.725619	1
CDX1	MA0878.1	0.235403	0.406947	0.90724	0.894178	0.90724	1
GATA1::TAL1	MA0140.2	0.233095	0.407843	0.804992	0.794716	0.804992	1
Arid5a	MA0602.1	0.225452	0.410812	0.84706	0.833286	0.84706	1
Bach1::Mafk	MA0591.1	0.224795	0.411068	0.798409	0.789502	0.798409	1
MITF	MA0620.2	0.218238	0.413621	0.782253	0.772302	0.782253	1
PROP1	MA0715.1	0.213861	0.415327	0.812851	0.797876	0.812851	1
LEF1	MA0768.1	0.207738	0.417716	0.787865	0.77852	0.787865	1
ETV2	MA0762.1	0.207454	0.417826	0.835372	0.826361	0.835372	1
Nkx2-5(var.2)	MA0503.1	0.201312	0.420226	0.886919	0.879389	0.886919	1
Arntl	MA0603.1	0.200269	0.420634	0.854463	0.843934	0.854463	1
NKX2-3	MA0672.1	0.197691	0.421642	0.900751	0.892727	0.900751	1
TP53	MA0106.3	0.181621	0.427939	0.738288	0.731733	0.738288	1
MEF2D	MA0773.1	0.177393	0.429599	0.825869	0.813575	0.825869	1
NFATC1	MA0624.1	0.169956	0.432521	0.917801	0.910744	0.917801	1
MEF2B	MA0660.1	0.168535	0.43308	0.812575	0.801303	0.812575	1
NHLH1	MA0048.2	0.16428	0.434754	0.859233	0.851042	0.859233	1
FOSL1::JUN(var.2)	MA1129.1	0.163836	0.434929	0.804202	0.79571	0.804202	1
FOXF2	MA0030.1	0.158676	0.436961	0.824203	0.816062	0.824203	1
SMAD3	MA0795.1	0.152391	0.439438	0.78991	0.782912	0.78991	1
Six3	MA0631.1	0.143991	0.442753	0.772535	0.766128	0.772535	1
OLIG2	MA0678.1	0.140939	0.443958	0.834503	0.827787	0.834503	1
mix-a	MA0621.1	0.140504	0.44413	0.834821	0.823904	0.834821	1
E2F7	MA0758.1	0.138862	0.444779	0.725041	0.718737	0.725041	1
RELB	MA1117.1	0.136931	0.445542	0.857876	0.851826	0.857876	1
NR2F2	MA1111.1	0.134401	0.446542	0.868306	0.861438	0.868306	1
STAT3	MA0144.2	0.127215	0.449385	0.891002	0.885637	0.891002	1
FOXH1	MA0479.1	0.126252	0.449765	0.862964	0.85673	0.862964	1
FOSL2::JUN(var.2)	MA1131.1	0.124103	0.450616	0.813383	0.80705	0.813383	1
FOS::JUNB	MA1134.1	0.123393	0.450897	0.831119	0.824949	0.831119	1
HSF4	MA0771.1	0.123228	0.450962	0.815377	0.809821	0.815377	1
ZIC1	MA0696.1	0.113927	0.454647	0.794142	0.78905	0.794142	1
POU3F2	MA0787.1	0.109926	0.456234	0.820912	0.81426	0.820912	1
FOS::JUND	MA1141.1	0.107695	0.457118	0.829901	0.824652	0.829901	1
NR4A2	MA0160.1	0.101871	0.459429	0.92594	0.922262	0.92594	1
BARHL2	MA0635.1	0.0980392	0.46095	0.901643	0.897496	0.901643	1
CEBPE	MA0837.1	0.0758444	0.469771	0.854889	0.851675	0.854889	1
Ar	MA0007.3	0.0749886	0.470111	0.752983	0.749953	0.752983	1
NR2C2	MA0504.1	0.0732607	0.470799	0.842988	0.840424	0.842988	1
Creb5	MA0840.1	0.0712611	0.471595	0.791565	0.787689	0.791565	1
JUN(var.2)	MA0489.1	0.0670321	0.473278	0.837321	0.834215	0.837321	1
BATF3	MA0835.1	0.066389	0.473534	0.693776	0.690572	0.693776	1
FOXK1	MA0852.2	0.0646132	0.474241	0.83214	0.829011	0.83214	1
JUN::JUNB(var.2)	MA1133.1	0.0604587	0.475895	0.800993	0.798026	0.800993	1
POU3F1	MA0786.1	0.0591234	0.476427	0.828822	0.825215	0.828822	1
JUNB(var.2)	MA1140.1	0.0588201	0.476547	0.802195	0.799083	0.802195	1
FOXL1	MA0033.2	0.0547752	0.478158	0.929091	0.92605	0.929091	1
FOXO4	MA0848.1	0.0539524	0.478486	0.913637	0.910767	0.913637	1
FOXI1	MA0042.2	0.051265	0.479557	0.895569	0.892596	0.895569	1
Zfx	MA0146.2	0.048202	0.480777	0.882211	0.879367	0.882211	1
MLXIPL	MA0664.1	0.0411826	0.483575	0.827744	0.825749	0.827744	1
Id2	MA0617.1	0.0376152	0.484997	0.855517	0.853273	0.855517	1
FOSL1::JUNB	MA1137.1	0.0328511	0.486896	0.831356	0.829816	0.831356	1
FOSL1::JUN	MA1128.1	0.0312251	0.487545	0.83381	0.832296	0.83381	1
DMRT3	MA0610.1	0.0250388	0.490012	0.830011	0.828599	0.830011	1
ELK4	MA0076.2	0.0246695	0.490159	0.870047	0.868852	0.870047	1
FOXP2	MA0593.1	0.0193221	0.492292	0.869754	0.868705	0.869754	1
PAX4	MA0068.2	0.0161423	0.49356	0.861899	0.860999	0.861899	1
JUNB	MA0490.1	0.0155504	0.493796	0.854109	0.853326	0.854109	1
FOXO6	MA0849.1	0.012549	0.494994	0.896675	0.895955	0.896675	1
Creb3l2	MA0608.1	0.0117356	0.495318	0.855952	0.855388	0.855952	1
PAX7	MA0680.1	0.00900354	0.496408	0.771251	0.77065	0.771251	1
HLTF	MA0109.1	0.0083271	0.496678	0.960613	0.960475	0.960613	1
VENTX	MA0724.1	0.00707645	0.497177	0.863929	0.863552	0.863929	1
NFIC	MA0161.2	0.00129566	0.499483	0.866149	0.866086	0.866149	1
CDX2	MA0465.1	-0.000608499	0.500243	0.865401	0.865434	0.865401	1
SIX1	MA1118.1	-0.00182045	0.500726	0.820381	0.820464	0.820381	1
Hoxc9	MA0485.1	-0.0074741	0.502982	0.815752	0.816095	0.815752	1
ESRRB	MA0141.3	-0.00886915	0.503538	0.8074	0.807865	0.8074	1
FOSL2::JUNB(var.2)	MA1139.1	-0.0111013	0.504429	0.779087	0.779687	0.779087	1
FOXD2	MA0847.1	-0.0121593	0.504851	0.935247	0.935761	0.935247	1
