"Index","Record","Symbol","Description","Location","Mean","Max LRS ?","Max LRS Location","Additive Effect ?","Sample r","&nbsp;&nbsp;N","Sample p(r)","Lit r","Tissue r"
"85","ILMN_1769566","ATG3","ATG3 autophagy related 3 homolog (S. cerevisiae) (ATG3), mRNA.","Chr3: 113.738024","10.596","N/A","N/A","N/A","0.683","145","3.235e-21","0.249","0.225"
"86","ILMN_1758315","SLC9A9","solute carrier family 9 (sodium/hydrogen exchanger), member 9 (SLC9A9), mRNA.","Chr3: 144.467024","8.495","N/A","N/A","N/A","0.682","145","3.506e-21","--","-0.143"
"87","ILMN_1761247","PIR","pirin (iron-binding nuclear protein) (PIR), transcript variant 1, mRNA.","ChrX: 15.318253","9.251","N/A","N/A","N/A","0.681","145","4.346e-21","0.366","0.142"
"88","ILMN_1714433","MARCKSL1","MARCKS-like 1 (MARCKSL1), mRNA.","Chr1: 32.572371","16.051","N/A","N/A","N/A","0.680","145","5.277e-21","0.400","-0.470"
"89","ILMN_1696704","TLE4","transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila) (TLE4), mRNA.","Chr9: 81.530777","7.788","N/A","N/A","N/A","0.680","145","5.392e-21","--","-0.075"
"90","ILMN_1671905","C10ORF78","chromosome 10 open reading frame 78 (C10orf78), transcript variant 2, mRNA.","Chr10: 105.872761","7.661","N/A","N/A","N/A","0.680","145","5.458e-21","0.230","--"
"91","ILMN_1794598","SCHIP1","schwannomin interacting protein 1 (SCHIP1), mRNA.","Chr3: 161.092629","11.570","N/A","N/A","N/A","0.678","145","6.872e-21","0.283","0.044"
"92","ILMN_1689976","EDIL3","EGF-like repeats and discoidin I-like domains 3 (EDIL3), mRNA.","Chr5: 83.273885","8.454","N/A","N/A","N/A","0.678","145","7.204e-21","0.437","0.202"
"93","ILMN_1697787","HIP1","huntingtin interacting protein 1 (HIP1), mRNA.","Chr7: 75.001380","7.951","N/A","N/A","N/A","0.678","145","7.604e-21","0.420","0.036"
"94","ILMN_1684576","C8ORF61","chromosome 8 open reading frame 61 (C8orf61), mRNA.","Chr8: 1.721711","8.422","N/A","N/A","N/A","0.678","145","7.631e-21","--","--"
"95","ILMN_1680403","SSR4","signal sequence receptor, delta (translocon-associated protein delta) (SSR4), mRNA.","ChrX: 152.716744","12.246","N/A","N/A","N/A","0.678","145","8.002e-21","--","0.417"
"96","ILMN_1659753","LAMP2","lysosomal-associated membrane protein 2 (LAMP2), transcript variant LAMP2A, mRNA.","ChrX: 119.459696","8.795","N/A","N/A","N/A","0.677","145","9.400e-21","0.406","0.699"
"97","ILMN_1805999","MYO1D","myosin ID (MYO1D), mRNA.","Chr17: 27.844050","8.192","N/A","N/A","N/A","0.676","145","1.009e-20","0.315","0.074"
"98","ILMN_1782878","LRRC8D","leucine rich repeat containing 8 family, member D (LRRC8D), mRNA.","Chr1: 90.173692","10.733","N/A","N/A","N/A","0.676","145","1.022e-20","--","0.423"
"99","ILMN_1791531","FA2H","fatty acid 2-hydroxylase (FA2H), mRNA.","Chr16: 73.304694","9.367","N/A","N/A","N/A","0.676","145","1.141e-20","0.396","-0.192"
"100","ILMN_1687519","SNAP23","synaptosomal-associated protein, 23kDa (SNAP23), transcript variant 1, mRNA.","Chr15: 40.607825","7.323","N/A","N/A","N/A","0.676","145","1.147e-20","--","0.306"
"101","ILMN_1680022","PRELID1","PRELI domain containing 1 (PRELID1), mRNA.","Chr5: 176.666428","9.221","N/A","N/A","N/A","-0.675","145","1.308e-20","0.428","0.384"
"102","ILMN_1717046","MOBKL2B","MOB1, Mps One Binder kinase activator-like 2B (yeast) (MOBKL2B), mRNA.","Chr9: 27.315805","8.479","N/A","N/A","N/A","0.674","145","1.568e-20","0.244","0.133"
"103","ILMN_1773847","DYNC1I2","dynein, cytoplasmic 1, intermediate chain 2 (DYNC1I2), mRNA.","Chr2: 172.310679","12.916","N/A","N/A","N/A","0.674","145","1.621e-20","0.326","-0.159"
"104","ILMN_1764168","STXBP3","syntaxin binding protein 3 (STXBP3), mRNA.","ChrUn: 1.000000","9.161","N/A","N/A","N/A","0.672","145","2.042e-20","--","-0.059"
"105","ILMN_1678766","DYNLT1","dynein, light chain, Tctex-type 1 (DYNLT1), mRNA.","Chr6: 158.977824","9.027","N/A","N/A","N/A","0.672","145","2.350e-20","--","--"
"106","ILMN_1678323","AASS","aminoadipate-semialdehyde synthase (AASS), mRNA.","Chr7: 121.503892","7.460","N/A","N/A","N/A","0.670","145","3.280e-20","0.541","0.453"
"107","ILMN_1785071","SEPP1","selenoprotein P, plasma, 1 (SEPP1), mRNA.","Chr5: 42.836624","13.815","N/A","N/A","N/A","0.669","145","3.428e-20","0.594","0.826"
"108","ILMN_1799115","ANKS1B","ankyrin repeat and sterile alpha motif domain containing 1B (ANKS1B), transcript variant 3, mRNA.","Chr12: 97.669264","8.340","N/A","N/A","N/A","0.669","145","3.483e-20","0.295","0.008"
"109","ILMN_1789283","PPP2R5C","protein phosphatase 2, regulatory subunit B', gamma isoform (PPP2R5C), transcript variant 4, mRNA.","Chr14: 101.430630","7.740","N/A","N/A","N/A","0.669","145","3.540e-20","0.337","-0.171"
"110","ILMN_1731619","DAD1","defender against cell death 1 (DAD1), mRNA.","Chr14: 22.113868","14.498","N/A","N/A","N/A","0.669","145","3.765e-20","0.385","0.135"
"111","ILMN_1748471","RPLP0","ribosomal protein, large, P0 (RPLP0), transcript variant 2, mRNA.","Chr12: 119.123020","7.873","N/A","N/A","N/A","0.668","145","4.445e-20","--","--"
"112","ILMN_1802251","PTTG1IP","pituitary tumor-transforming 1 interacting protein (PTTG1IP), mRNA.","Chr21: 45.094674","10.658","N/A","N/A","N/A","0.668","145","4.783e-20","0.204","0.632"
"113","ILMN_1720501","ABCA9","ATP-binding cassette, sub-family A (ABC1), member 9 (ABCA9), mRNA.","Chr17: 64.492665","8.014","N/A","N/A","N/A","0.667","145","4.878e-20","--","0.288"
"114","ILMN_1789171","EEF2K","eukaryotic elongation factor-2 kinase (EEF2K), mRNA.","Chr16: 22.205327","8.901","N/A","N/A","N/A","-0.666","145","6.255e-20","0.503","0.018"
"115","ILMN_1815063","PXK","PX domain containing serine/threonine kinase (PXK), mRNA.","Chr3: 58.385775","8.478","N/A","N/A","N/A","0.666","145","6.514e-20","0.230","-0.426"
"116","ILMN_1674984","EDG2","endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2 (EDG2), transcript variant 2, mRNA.","Chr9: 112.775604","7.098","N/A","N/A","N/A","0.666","145","6.618e-20","0.596","-0.147"
"117","ILMN_1667058","CLU","clusterin (CLU), transcript variant 1, mRNA.","Chr8: 27.528191","7.444","N/A","N/A","N/A","0.665","145","6.824e-20","0.464","0.183"
"118","ILMN_1784283","USH1C","Usher syndrome 1C (autosomal recessive, severe) (USH1C), transcript variant 1, mRNA.","Chr11: 17.472310","8.451","N/A","N/A","N/A","0.665","145","6.929e-20","--","0.154"
"119","ILMN_1758938","SLC31A2","solute carrier family 31 (copper transporters), member 2 (SLC31A2), mRNA.","ChrUn: 1.000000","12.359","N/A","N/A","N/A","0.665","145","6.989e-20","--","0.033"
"120","ILMN_1707551","AFMID","arylformamidase (AFMID), mRNA.","Chr17: 73.714882","8.603","N/A","N/A","N/A","0.665","145","7.067e-20","0.518","0.631"
"121","ILMN_1786273","C1ORF122","chromosome 1 open reading frame 122 (C1orf122), mRNA.","Chr1: 38.047325","11.056","N/A","N/A","N/A","0.665","145","7.093e-20","--","--"
"122","ILMN_1800220","KCTD3","potassium channel tetramerisation domain containing 3 (KCTD3), mRNA.","Chr1: 213.860882","8.894","N/A","N/A","N/A","0.665","145","7.169e-20","0.108","-0.180"
"123","ILMN_1749078","TIMP2","TIMP metallopeptidase inhibitor 2 (TIMP2), mRNA.","Chr17: 74.432637","7.283","N/A","N/A","N/A","0.665","145","7.414e-20","--","-0.169"
"124","ILMN_1704961","ACTG1","actin, gamma 1 (ACTG1), mRNA.","Chr17: 77.093944","12.575","N/A","N/A","N/A","0.665","145","7.554e-20","0.384","-0.244"
"125","ILMN_1792660","CAMSAP1L1","calmodulin regulated spectrin-associated protein 1-like 1 (CAMSAP1L1), mRNA.","Chr1: 199.096276","11.807","N/A","N/A","N/A","-0.664","145","9.203e-20","0.221","-0.638"
"126","ILMN_1739253","STAMBP","STAM binding protein (STAMBP), transcript variant 2, mRNA.","Chr2: 73.943381","11.633","N/A","N/A","N/A","0.664","145","9.213e-20","--","-0.386"
"127","ILMN_1794106","FEZ1","fasciculation and elongation protein zeta 1 (zygin I) (FEZ1), transcript variant 2, mRNA.","Chr11: 124.864015","9.509","N/A","N/A","N/A","0.662","145","1.252e-19","0.463","-0.283"
"128","ILMN_1747759","WSB1","WD repeat and SOCS box-containing 1 (WSB1), transcript variant 3, mRNA.","Chr17: 22.659729","8.533","N/A","N/A","N/A","0.662","145","1.303e-19","--","0.027"
"129","ILMN_1771921","HSCB","HscB iron-sulfur cluster co-chaperone homolog (E. coli) (HSCB), mRNA.","Chr22: 27.470632","7.373","N/A","N/A","N/A","0.661","145","1.512e-19","--","0.092"
"130","ILMN_1774584","C2ORF28","chromosome 2 open reading frame 28 (C2orf28), transcript variant 1, mRNA.","Chr2: 27.292981","11.508","N/A","N/A","N/A","0.660","145","1.732e-19","--","--"
"131","ILMN_1777794","PRKCSH","protein kinase C substrate 80K-H (PRKCSH), transcript variant 1, mRNA.","Chr19: 11.422694","9.728","N/A","N/A","N/A","0.659","145","2.098e-19","0.389","0.445"
"132","ILMN_1718565","CDKN1C","cyclin-dependent kinase inhibitor 1C (p57, Kip2) (CDKN1C), mRNA.","Chr11: 2.861687","9.311","N/A","N/A","N/A","0.659","145","2.191e-19","0.412","0.223"
"133","ILMN_1718988","DAZAP2","DAZ associated protein 2 (DAZAP2), mRNA.","Chr12: 49.923457","15.568","N/A","N/A","N/A","0.658","145","2.433e-19","0.338","0.231"
"134","ILMN_1707267","ERBB3","v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian) (ERBB3), transcript variant s, mRNA.","Chr12: 54.765170","7.266","N/A","N/A","N/A","0.658","145","2.554e-19","0.441","0.318"
"135","ILMN_1761450","DHRS4L2","dehydrogenase/reductase (SDR family) member 4 like 2 (DHRS4L2), mRNA.","ChrUn: 1.000000","7.377","N/A","N/A","N/A","0.657","145","2.647e-19","--","--"
"136","ILMN_1716093","KRT10","keratin 10 (epidermolytic hyperkeratosis; keratosis palmaris et plantaris) (KRT10), mRNA.","Chr17: 36.228255","10.013","N/A","N/A","N/A","0.657","145","2.900e-19","0.368","-0.075"
"137","ILMN_1675070","GOLGA7","golgi autoantigen, golgin subfamily a, 7 (GOLGA7), transcript variant 1, mRNA.","Chr8: 41.467241","7.149","N/A","N/A","N/A","0.657","145","2.965e-19","--","-0.072"
"138","ILMN_1781819","PAPSS1","3'-phosphoadenosine 5'-phosphosulfate synthase 1 (PAPSS1), mRNA.","Chr4: 108.754882","13.250","N/A","N/A","N/A","0.656","145","3.186e-19","0.407","0.202"
