"Index","Record","Symbol","Description","Location","Mean","Max.LRS..","Max.LRS.Location","Additive.Effect..","Sample.r","X.nbsp..nbsp.N","Sample.p.r.","Lit.r","Tissue.r","ENTREZID","loc","bp","corsign","symbol_change","orig.symbol","new.symbol"
265,"ILMN_1762972","CHD9","chromodomain helicase DNA binding protein 9 (CHD9), mRNA.","ChrUn: 1.000000",13.663,"N/A","N/A","N/A",-0.485,146,0.0000000005417,"0.28000000000000003","-1.4999999999999901E-2",80205,"16","53.055033000000002",-1,FALSE,"CHD9","CHD9"
266,"ILMN_1676448","WDFY1","WD repeat and FYVE domain containing 1 (WDFY1), mRNA.","Chr2: 224.448382",11.217,"N/A","N/A","N/A",-0.485,146,0.0000000005548,"--","-0.25800000000000001",57590,"2","224.44838200000001",-1,FALSE,"WDFY1","WDFY1"
269,"ILMN_1658003","YIF1B","Yip1 interacting factor homolog B (S. cerevisiae) (YIF1B), transcript variant 3, mRNA.","Chr19: 43.489963",8.299,"N/A","N/A","N/A",0.484,146,0.0000000006161,"--","-0.101999999999998",90522,"19","43.489963000000003",1,FALSE,"YIF1B","YIF1B"
270,"ILMN_1712664","KNOP1","similar to TSG118.1 (LOC400506), mRNA.","ChrUn: 1.000000",7.157,"N/A","N/A","N/A",0.483,146,0.0000000006359,"--","--",400506,"16","19.701934000000001",1,TRUE,"LOC400506","KNOP1"
272,"ILMN_1679600","ACOT8","acyl-CoA thioesterase 8 (ACOT8), transcript variant 3, mRNA.","Chr20: 43.906371",7.524,"N/A","N/A","N/A",0.483,146,0.0000000006903,"0.28599999999999198","0.125",10005,"20","43.906371",1,FALSE,"ACOT8","ACOT8"
273,"ILMN_1794260","FBXL10","F-box and leucine-rich repeat protein 10 (FBXL10), transcript variant 1, mRNA.","Chr12: 120.351411",12.595,"N/A","N/A","N/A",-0.482,146,0.0000000006967,"0.26500000000000001","-0.438",84678,"12","120.351411",-1,FALSE,"FBXL10","FBXL10"
277,"ILMN_1803772","POLD4","polymerase (DNA-directed), delta 4 (POLD4), mRNA.","Chr11: 66.875859",6.94,"N/A","N/A","N/A",0.481,146,0.0000000007715,"0.32200000000000001","0.488999999999994",57804,"11","66.875859000000005",1,FALSE,"POLD4","POLD4"
280,"ILMN_1677484","SNAPC4","small nuclear RNA activating complex, polypeptide 4, 190kDa (SNAPC4), mRNA.","Chr9: 138.389893",11.236,"N/A","N/A","N/A",-0.481,146,0.0000000008238,"--","-0.161",6621,"9","138.389893",-1,FALSE,"SNAPC4","SNAPC4"
282,"ILMN_1693538","STK36","serine/threonine kinase 36, fused homolog (Drosophila) (STK36), mRNA.","Chr2: 219.275622",11.122,"N/A","N/A","N/A",-0.48,146,0.0000000008513,"--","-0.39100000000000001",27148,"2","219.275622",-1,FALSE,"STK36","STK36"
283,"ILMN_1814074","PHKA2","phosphorylase kinase, alpha 2 (liver) (PHKA2), mRNA.","ChrX: 18.820856",10.222,"N/A","N/A","N/A",-0.48,146,0.0000000008694,"0.368999999999999","0.41099999999999198",5256,"X","18.8208559999999",-1,FALSE,"PHKA2","PHKA2"
284,"ILMN_1700815","EIF2AK1","eukaryotic translation initiation factor 2-alpha kinase 1 (EIF2AK1), mRNA.","Chr7: 6.030127",9.119,"N/A","N/A","N/A",0.48,146,0.0000000008853,"0.372","0.117999999999998",27102,"7","6.0301270000000002",1,FALSE,"EIF2AK1","EIF2AK1"
286,"ILMN_1702168","HSD17B12","hydroxysteroid (17-beta) dehydrogenase 12 (HSD17B12), mRNA.","Chr11: 43.834109",10.722,"N/A","N/A","N/A",0.48,146,0.0000000009101,"0.51","0.496",51144,"11","43.8341089999997",1,FALSE,"HSD17B12","HSD17B12"
287,"ILMN_2038778","GAPDH","glyceraldehyde-3-phosphate dehydrogenase (GAPDH), mRNA.","Chr12: 6.517320",17.588,"N/A","N/A","N/A",0.479,146,0.0000000009765,"0.48299999999999199","0.48",2597,"12","6.51731999999999",1,FALSE,"GAPDH","GAPDH"
288,"ILMN_1755123","GBA","glucosidase, beta; acid (includes glucosylceramidase) (GBA), transcript variant 2, mRNA.","Chr1: 153.471703",7.617,"N/A","N/A","N/A",0.479,146,0.000000001,"0.38400000000000001","0.29699999999999199",2629,"1","153.471702999999",1,FALSE,"GBA","GBA"
289,"ILMN_1736585","TMED10","transmembrane emp24-like trafficking protein 10 (yeast) (TMED10), mRNA.","ChrUn: 1.000000",8.297,"N/A","N/A","N/A",0.478,146,0.000000001021,"--","0.183",10972,"14","75.131469999999496",1,FALSE,"TMED10","TMED10"
291,"ILMN_1671291","EIF3S2","eukaryotic translation initiation factor 3, subunit 2 beta, 36kDa (EIF3S2), mRNA.","Chr1: 32.469192",11.937,"N/A","N/A","N/A",0.478,146,0.000000001036,"0.32200000000000001","--",8668,"1","32.469192",1,FALSE,"EIF3S2","EIF3S2"
292,"ILMN_1698019","LGMN","legumain (LGMN), transcript variant 1, mRNA.","Chr14: 92.240242",9.183,"N/A","N/A","N/A",0.478,146,0.000000001044,"0.44700000000000001","0.3",5641,"14","92.240241999999498",1,FALSE,"LGMN","LGMN"
293,"ILMN_1793829","TMCO1","transmembrane and coiled-coil domains 1 (TMCO1), mRNA.","Chr1: 163.963529",10.822,"N/A","N/A","N/A",0.478,146,0.000000001051,"--","0.65700000000000003",54499,"1","163.963528999999",1,FALSE,"TMCO1","TMCO1"
295,"ILMN_1778557","CDC2L5","cell division cycle 2-like 5 (cholinesterase-related cell division controller) (CDC2L5), transcript variant 1, mRNA.","Chr7: 40.101470",8.889,"N/A","N/A","N/A",-0.477,146,0.000000001107,"0.18","-0.101999999999998",8621,"7","40.1014699999999",-1,FALSE,"CDC2L5","CDC2L5"
298,"ILMN_1671402","ARPP-21","cyclic AMP-regulated phosphoprotein, 21 kD (ARPP-21), transcript variant 4, mRNA.","Chr3: 35.698343",14.306,"N/A","N/A","N/A",-0.477,146,0.000000001153,"0.56799999999999196","--",10777,"3","35.698343000000001",-1,FALSE,"ARPP-21","ARPP-21"
300,"ILMN_1752510","FAM13A1","family with sequence similarity 13, member A1 (FAM13A1), transcript variant 2, mRNA.","Chr4: 89.867383",9.995,"N/A","N/A","N/A",-0.476,146,0.000000001206,"0.315","--",10144,"4","89.867383000000004",-1,FALSE,"FAM13A1","FAM13A1"
304,"ILMN_1731644","SETDB2","SET domain, bifurcated 2 (SETDB2), mRNA.","Chr13: 48.963907",9.202,"N/A","N/A","N/A",-0.476,146,0.000000001272,"--","0.219",83852,"13","48.9639069999998",-1,FALSE,"SETDB2","SETDB2"
305,"ILMN_1726562","ERCC1","excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence) (ERCC1), transcript variant 2, mRNA.","Chr19: 50.610006",7.913,"N/A","N/A","N/A",0.475,146,0.00000000136,"0.40899999999999198","-0.28499999999999198",2067,"19","50.6100059999998",1,FALSE,"ERCC1","ERCC1"
311,"ILMN_1734425","ZDHHC9","zinc finger, DHHC-type containing 9 (ZDHHC9), transcript variant 1, mRNA.","ChrX: 128.766807",7.721,"N/A","N/A","N/A",0.472,146,0.000000001773,"--","0.441",51114,"X","128.766807",1,FALSE,"ZDHHC9","ZDHHC9"
312,"ILMN_1673252","JTV1","JTV1 gene (JTV1), mRNA.","ChrUn: 1.000000",9.573,"N/A","N/A","N/A",0.472,146,0.000000001862,"0.33","-0.13400000000000001",7965,"7","6.0092449999999902",1,FALSE,"JTV1","JTV1"
313,"ILMN_1657446","C1orf57","chromosome 1 open reading frame 57 (C1orf57), mRNA.","Chr1: 231.180561",8.356,"N/A","N/A","N/A",0.471,146,0.000000001946,"--","-0.47",84284,"1","231.18056100000001",1,TRUE,"C1ORF57","C1orf57"
314,"ILMN_1744059","DCTN6","dynactin 6 (DCTN6), mRNA.","Chr8: 30.157663",10.646,"N/A","N/A","N/A",0.471,146,0.000000001954,"0.156","-0.13300000000000001",10671,"8","30.1576629999999",1,FALSE,"DCTN6","DCTN6"
315,"ILMN_1783636","COX6A1","cytochrome c oxidase subunit VIa polypeptide 1 (COX6A1), nuclear gene encoding mitochondrial protein, mRNA.","Chr12: 119.360625",13.163,"N/A","N/A","N/A",0.471,146,0.000000002039,"0.32700000000000001","0.47899999999999199",1337,"12","119.360625",1,FALSE,"COX6A1","COX6A1"
318,"ILMN_1760798","RYR2","ryanodine receptor 2 (cardiac) (RYR2), mRNA.","ChrUn: 1.000000",9.48,"N/A","N/A","N/A",-0.47,146,0.000000002213,"--","0.222",6262,"1","237.042205",-1,FALSE,"RYR2","RYR2"
