"","Index","Record","Symbol","Description","Location","Mean","Max.LRS..","Max.LRS.Location","Additive.Effect..","Sample.r","X.nbsp..nbsp.N","Sample.p.r.","Lit.r","Tissue.r","loc","bp","corsign","ENTREZID"
"13",13,"ILMN_1672608","PLPP3","phosphatidic acid phosphatase type 2B (PPAP2B), transcript variant 1, mRNA.","Chr1: 56.817352",7.221,"N/A","N/A","N/A",0.643,147,0.000000000000000001537,"0.39700000000000002","0.57499999999999996","1",56.817352,"1","8613"
"14",14,"ILMN_1733157","THSD1","thrombospondin, type I, domain containing 1 (THSD1), transcript variant 1, mRNA.","Chr13: 51.849928",7.129,"N/A","N/A","N/A",0.64,147,0.000000000000000002682,"--","1.2999999999999999E-2","13",51.849928,"1","55901"
"15",15,"ILMN_1810864","PMP22","peripheral myelin protein 22 (PMP22), transcript variant 2, mRNA.","Chr17: 15.106483",7.863,"N/A","N/A","N/A",0.638,147,0.000000000000000003477,"0.35699999999999998","0.14199999999999999","17",15.106483,"1","5376"
"16",16,"ILMN_1802251","PTTG1IP","pituitary tumor-transforming 1 interacting protein (PTTG1IP), mRNA.","Chr21: 45.094674",10.16,"N/A","N/A","N/A",0.629,147,0.00000000000000001514,"0.20399999999999999","0.63200000000000001","21",45.094674,"1","754"
"17",17,"ILMN_1716445","DTYMK","deoxythymidylate kinase (thymidylate kinase) (DTYMK), mRNA.","Chr2: 242.273869",7.536,"N/A","N/A","N/A",0.628,147,0.00000000000000001621,"0.34499999999999997","-0.27700000000000002","2",242.273869,"1","1841"
"18",18,"ILMN_1688868","PLPP3","phosphatidic acid phosphatase type 2B (PPAP2B), transcript variant 1, mRNA.","Chr1: 56.733575",9.563,"N/A","N/A","N/A",0.627,147,0.00000000000000001879,"0.39700000000000002","0.57499999999999996","1",56.733575,"1","8613"
"19",19,"ILMN_1730084","COMT","catechol-O-methyltransferase (COMT), transcript variant S-COMT, mRNA.","Chr22: 18.336318",12.064,"N/A","N/A","N/A",0.62,147,0.00000000000000005263,"1","1","22",18.336318,"1","1312"
"20",20,"ILMN_1793859","ALDH2","aldehyde dehydrogenase 2 family (mitochondrial) (ALDH2), nuclear gene encoding mitochondrial protein, mRNA.","Chr12: 110.731770",12.083,"N/A","N/A","N/A",0.618,147,0.00000000000000007169,"0.58699999999999997","0.753","12",110.73177,"1","217"
"21",21,"ILMN_1685194","CLDN10","claudin 10 (CLDN10), transcript variant 2, mRNA.","Chr13: 95.003169",9.747,"N/A","N/A","N/A",0.618,147,0.0000000000000000758,"0.32800000000000001","-7.3999999999999996E-2","13",95.003169,"1","9071"
"22",22,"ILMN_1751904","EDNRB","endothelin receptor type B (EDNRB), transcript variant 2, mRNA.","Chr13: 77.372706",8.208,"N/A","N/A","N/A",0.614,147,0.0000000000000001323,"0.40200000000000002","0.46899999999999997","13",77.372706,"1","1910"
"23",23,"ILMN_1653115","ECH1","enoyl Coenzyme A hydratase 1, peroxisomal (ECH1), mRNA.","Chr19: 43.998177",11.968,"N/A","N/A","N/A",0.613,147,0.0000000000000001656,"0.29099999999999998","0.74199999999999999","19",43.998177,"1","1891"
"24",24,"ILMN_1797964","ARL6IP6","ADP-ribosylation-like factor 6 interacting protein 6 (ARL6IP6), mRNA.","Chr2: 153.324567",8.004,"N/A","N/A","N/A",0.609,147,0.0000000000000002947,"0.25600000000000001","1.4999999999999999E-2","2",153.324567,"1","151188"
"25",25,"ILMN_1667429","SLC25A20","solute carrier family 25 (carnitine/acylcarnitine translocase), member 20 (SLC25A20), nuclear gene encoding mitochondrial protein, mRNA.","Chr3: 48.875045",7.035,"N/A","N/A","N/A",0.608,147,0.0000000000000003032,"--","0.52800000000000002","3",48.875045,"1","788"
"26",26,"ILMN_1754663","TSPO","translocator protein (18kDa) (TSPO), transcript variant PBR, mRNA.","Chr22: 41.885320",7.112,"N/A","N/A","N/A",0.607,147,0.0000000000000003666,"--","0.54600000000000004","22",41.88532,"1","706"
"27",27,"ILMN_1703108","UBE2L6","ubiquitin-conjugating enzyme E2L 6 (UBE2L6), transcript variant 1, mRNA.","Chr11: 57.091654",7.437,"N/A","N/A","N/A",0.603,147,0.0000000000000006072,"--","0.26200000000000001","11",57.091654,"1","9246"
"28",28,"ILMN_1653496","GLUL","glutamate-ammonia ligase (glutamine synthetase) (GLUL), transcript variant 1, mRNA.","Chr1: 180.618492",7.646,"N/A","N/A","N/A",0.603,147,0.0000000000000006797,"0.53600000000000003","0.56100000000000005","1",180.618492,"1","2752"
"29",29,"ILMN_1676649","AQP4","aquaporin 4 (AQP4), transcript variant a, mRNA.","Chr18: 22.699622",7.595,"N/A","N/A","N/A",0.602,147,0.0000000000000007504,"0.38400000000000001","5.1999999999999998E-2","18",22.699622,"1","361"
"30",30,"ILMN_1652306","MEGF10","multiple EGF-like-domains 10 (MEGF10), mRNA.","Chr5: 126.823254",7.313,"N/A","N/A","N/A",0.597,147,0.00000000000000144,"0.315","-0.216","5",126.823254,"1","84466"
"32",32,"ILMN_1767523","IL17RB","interleukin 17 receptor B (IL17RB), mRNA.","ChrUn: 1.000000",8.308,"N/A","N/A","N/A",0.596,147,0.00000000000000166,"0.315","0.21","3",53.847,"1","55540"
"33",33,"ILMN_1713162","GSTM2","glutathione S-transferase M2 (muscle) (GSTM2), mRNA.","Chr1: 110.015646",8.279,"N/A","N/A","N/A",0.595,147,0.00000000000000192,"--","0.25700000000000001","1",110.015646,"1","2946"
"34",34,"ILMN_1765876","ARHGAP24","Rho GTPase activating protein 24 (ARHGAP24), transcript variant 1, mRNA.","ChrUn: 1.000000",7.344,"N/A","N/A","N/A",0.593,147,0.000000000000002354,"0.29399999999999998","0.48099999999999998","4",85.475,"1","83478"
"35",35,"ILMN_1672650","PKM","pyruvate kinase, muscle (PKM2), transcript variant 1, mRNA.","Chr15: 70.281933",7.266,"N/A","N/A","N/A",0.593,147,0.000000000000002573,"0.43099999999999999","-0.29399999999999998","15",70.281933,"1","5315"
"36",36,"ILMN_1771921","HSCB","HscB iron-sulfur cluster co-chaperone homolog (E. coli) (HSCB), mRNA.","Chr22: 27.470632",7.366,"N/A","N/A","N/A",0.593,147,0.000000000000002618,"--","9.1999999999999998E-2","22",27.470632,"1","150274"
"37",37,"ILMN_1761247","PIR","pirin (iron-binding nuclear protein) (PIR), transcript variant 1, mRNA.","ChrX: 15.318253",8.713,"N/A","N/A","N/A",0.592,147,0.000000000000003007,"0.36599999999999999","0.14199999999999999","X",15.318253,"1","8544"
"38",38,"ILMN_1725072","DPY19L3","dpy-19-like 3 (C. elegans) (DPY19L3), mRNA.","Chr19: 37.666626",6.996,"N/A","N/A","N/A",0.591,147,0.000000000000003095,"--","0.317","19",37.666626,"1","147991"
"39",39,"ILMN_1653783","MLC1","megalencephalic leukoencephalopathy with subcortical cysts 1 (MLC1), transcript variant 2, mRNA.","Chr22: 48.865770",7.295,"N/A","N/A","N/A",0.591,147,0.000000000000003198,"0.43099999999999999","-6.0000000000000001E-3","22",48.86577,"1","23209"
"40",40,"ILMN_1684289","PNPO","pyridoxamine 5'-phosphate oxidase (PNPO), mRNA.","ChrUn: 1.000000",10.926,"N/A","N/A","N/A",0.59,147,0.000000000000003753,"0.39200000000000002","0.52500000000000002","17",47.942,"1","55163"
"41",41,"ILMN_1718949","SLC39A12","solute carrier family 39 (zinc transporter), member 12 (SLC39A12), mRNA.","Chr10: 18.332173",8.997,"N/A","N/A","N/A",0.59,147,0.000000000000003902,"--","-0.53200000000000003","10",18.332173,"1","221074"
"42",42,"ILMN_1792689","HIST1H2AC","histone cluster 1, H2ac (HIST1H2AC), mRNA.","Chr6: 26.232443",7.51,"N/A","N/A","N/A",0.588,147,0.000000000000005086,"--","-0.35699999999999998","6",26.232443,"1","8334"
"43",43,"ILMN_1686985","MTM1","myotubularin 1 (MTM1), mRNA.","ChrX: 149.591560",7.756,"N/A","N/A","N/A",0.587,147,0.000000000000005307,"0.41599999999999998","0.18","X",149.59156,"1","4534"
"44",44,"ILMN_1675268","LRP4","low density lipoprotein receptor-related protein 4 (LRP4), mRNA.","Chr11: 46.835364",9.629,"N/A","N/A","N/A",0.584,147,0.000000000000008227,"0.26600000000000001","0.23400000000000001","11",46.835364,"1","4038"
"45",45,"ILMN_1761797","CSTB","cystatin B (stefin B) (CSTB), mRNA.","Chr21: 44.018978",12.644,"N/A","N/A","N/A",0.584,147,0.000000000000008363,"0.53900000000000003","0.26900000000000002","21",44.018978,"1","1476"
"46",46,"ILMN_1721818","CLDN10","claudin 10 (CLDN10), transcript variant 2, mRNA.","Chr13: 95.028164",11.427,"N/A","N/A","N/A",0.58,147,0.00000000000001386,"0.32800000000000001","-7.3999999999999996E-2","13",95.028164,"1","9071"
"47",47,"ILMN_1696419","STOM","stomatin (STOM), transcript variant 1, mRNA.","Chr9: 123.150194",8.111,"N/A","N/A","N/A",0.58,147,0.00000000000001446,"--","5.5E-2","9",123.150194,"1","2040"
"48",48,"ILMN_1658494","RGCC","response gene to complement 32 (RGC32), mRNA.","Chr13: 40.942716",14.294,"N/A","N/A","N/A",0.579,147,0.00000000000001492,"0.34499999999999997","--","13",40.942716,"1","28984"
"49",49,"ILMN_1683883","ACY1","aminoacylase 1 (ACY1), mRNA.","Chr3: 51.997630",7.789,"N/A","N/A","N/A",0.579,147,0.00000000000001566,"0.34300000000000003","0.61399999999999999","3",51.99763,"1","95"
"50",50,"ILMN_1739161","PLPP1","phosphatidic acid phosphatase type 2A (PPAP2A), transcript variant 1, mRNA.","Chr5: 54.806958",7.808,"N/A","N/A","N/A",0.578,147,0.00000000000001697,"0.438","-4.5999999999999999E-2","5",54.806958,"1","8611"
"51",51,"ILMN_1810199","ASRGL1","asparaginase like 1 (ASRGL1), mRNA.","Chr11: 61.916261",8.824,"N/A","N/A","N/A",0.575,147,0.00000000000002506,"0.26700000000000002","-0.52","11",61.916261,"1","80150"
"53",53,"ILMN_1800659","PGM1","phosphoglucomutase 1 (PGM1), mRNA.","Chr1: 63.898163",11.916,"N/A","N/A","N/A",0.573,147,0.00000000000003278,"0.38400000000000001","0.215","1",63.898163,"1","5236"
"54",54,"ILMN_1708861","LRRC3B","leucine rich repeat containing 3B (LRRC3B), mRNA.","Chr3: 26.726633",7.881,"N/A","N/A","N/A",0.573,147,0.00000000000003395,"--","0.23899999999999999","3",26.726633,"1","116135"
"55",55,"ILMN_1801833","ARHGAP24","Rho GTPase activating protein 24 (ARHGAP24), transcript variant 2, mRNA.","ChrUn: 1.000000",7.421,"N/A","N/A","N/A",0.571,147,0.00000000000004387,"0.29399999999999998","0.48099999999999998","4",85.475,"1","83478"
"56",56,"ILMN_1758731","CYP2J2","cytochrome P450, family 2, subfamily J, polypeptide 2 (CYP2J2), mRNA.","Chr1: 60.131825",9.706,"N/A","N/A","N/A",0.569,147,0.00000000000005347,"0.434","--","1",60.131825,"1","1573"
"57",57,"ILMN_1688842","WDFY2","WD repeat and FYVE domain containing 2 (WDFY2), mRNA.","ChrUn: 1.000000",7.133,"N/A","N/A","N/A",0.569,147,0.00000000000005428,"--","0.127","13",51.584,"1","115825"
"58",58,"ILMN_1750409","RAB9A","RAB9A, member RAS oncogene family (RAB9A), mRNA.","ChrX: 13.637511",10.105,"N/A","N/A","N/A",0.568,147,0.00000000000006009,"0.23","--","X",13.637511,"1","9367"
"60",60,"ILMN_1678323","AASS","aminoadipate-semialdehyde synthase (AASS), mRNA.","Chr7: 121.503892",7.174,"N/A","N/A","N/A",0.567,147,0.00000000000007417,"0.54100000000000004","0.45300000000000001","7",121.503892,"1","10157"
"61",61,"ILMN_1747683","AQP4","aquaporin 4 (AQP4), transcript variant b, mRNA.","Chr18: 22.686860",11.897,"N/A","N/A","N/A",0.566,147,0.00000000000008056,"0.38400000000000001","5.1999999999999998E-2","18",22.68686,"1","361"
"62",62,"ILMN_1676616","PTPRZ1","protein tyrosine phosphatase, receptor-type, Z polypeptide 1 (PTPRZ1), mRNA.","Chr7: 121.488416",10.888,"N/A","N/A","N/A",0.565,147,0.00000000000009473,"0.44900000000000001","-0.32200000000000001","7",121.488416,"1","5803"
"63",63,"ILMN_1751471","MLC1","megalencephalic leukoencephalopathy with subcortical cysts 1 (MLC1), transcript variant 1, mRNA.","Chr22: 48.840811",8.478,"N/A","N/A","N/A",0.564,147,0.00000000000009929,"0.43099999999999999","-6.0000000000000001E-3","22",48.840811,"1","23209"
"64",64,"ILMN_1714158","PON2","paraoxonase 2 (PON2), transcript variant 2, mRNA.","Chr7: 94.872619",11.521,"N/A","N/A","N/A",0.563,147,0.0000000000001113,"0.52400000000000002","0.224","7",94.872619,"1","5445"
"65",65,"ILMN_1712673","SASH1","SAM and SH3 domain containing 1 (SASH1), mRNA.","Chr6: 148.914326",11.196,"N/A","N/A","N/A",0.561,147,0.0000000000001413,"--","0.55800000000000005","6",148.914326,"1","23328"
"66",66,"ILMN_1720053","ZFAND3","zinc finger, AN1-type domain 3 (ZFAND3), mRNA.","Chr6: 38.229892",8.39,"N/A","N/A","N/A",0.561,147,0.0000000000001441,"--","0.56899999999999995","6",38.229892,"1","60685"
"67",67,"ILMN_1656335","RIT1","Ras-like without CAAX 1 (RIT1), mRNA.","Chr1: 154.136984",7.279,"N/A","N/A","N/A",0.56,147,0.0000000000001583,"0.40600000000000003","0.17899999999999999","1",154.136984,"1","6016"
"68",68,"ILMN_1781952","MGST1","microsomal glutathione S-transferase 1 (MGST1), transcript variant 1b, mRNA.","Chr12: 16.391846",8.09,"N/A","N/A","N/A",0.558,147,0.000000000000198,"0.46899999999999997","0.60099999999999998","12",16.391846,"1","4257"
"69",69,"ILMN_1736353","PSMC1","proteasome (prosome, macropain) 26S subunit, ATPase, 1 (PSMC1), mRNA.","Chr14: 89.808635",15.152,"N/A","N/A","N/A",-0.558,147,0.0000000000001996,"0.41499999999999998","0.48","14",89.808635,"-1","5700"
"71",71,"ILMN_1773485","QKI","quaking homolog, KH domain RNA binding (mouse) (QKI), transcript variant 3, mRNA.","Chr6: 163.907760",8.038,"N/A","N/A","N/A",0.554,147,0.0000000000003192,"0.38600000000000001","--","6",163.90776,"1","9444"
"72",72,"ILMN_1678629","DOCK7","dedicator of cytokinesis 7 (DOCK7), mRNA.","Chr1: 62.693692",9.105,"N/A","N/A","N/A",0.554,147,0.0000000000003233,"0.54200000000000004","-2.1999999999999999E-2","1",62.693692,"1","85440"
"73",73,"ILMN_1707717","BAALC","brain and acute leukemia, cytoplasmic (BAALC), transcript variant 1, mRNA.","Chr8: 104.294394",8.206,"N/A","N/A","N/A",0.554,147,0.0000000000003338,"0.36299999999999999","4.8000000000000001E-2","8",104.294394,"1","79870"
"74",74,"ILMN_1727080","MYO6","myosin VI (MYO6), mRNA.","Chr6: 76.681376",7.734,"N/A","N/A","N/A",0.554,147,0.0000000000003355,"0.36799999999999999","0.28499999999999998","6",76.681376,"1","4646"
"75",75,"ILMN_1693879","RANBP3L","RAN binding protein 3-like (RANBP3L), mRNA.","Chr5: 36.285513",7.798,"N/A","N/A","N/A",0.547,147,0.0000000000007298,"--","0.38200000000000001","5",36.285513,"1","202151"
"76",76,"ILMN_1675387","LIMS1","LIM and senescent cell antigen-like domains 1 (LIMS1), mRNA.","Chr2: 108.658771",7.267,"N/A","N/A","N/A",0.545,147,0.0000000000009853,"0.42499999999999999","0.11799999999999999","2",108.658771,"1","3987"
"77",77,"ILMN_1757807","ETNPPL","alanine-glyoxylate aminotransferase 2-like 1 (AGXT2L1), mRNA.","Chr4: 109.883165",11.515,"N/A","N/A","N/A",0.544,147,0.000000000001055,"--","0.46600000000000003","4",109.883165,"1","64850"
"78",78,"ILMN_1660519","LOC285382","hypothetical gene supported by AK091454 (LOC285382), mRNA.","Chr3: 186.279006",10.37,"N/A","N/A","N/A",0.544,147,0.000000000001131,"--","--","3",186.279006,"1","285382"
"79",79,"ILMN_1682054","SRI","sorcin (SRI), transcript variant 1, mRNA.","Chr7: 87.687236",8.874,"N/A","N/A","N/A",0.543,147,0.000000000001264,"--","0.27700000000000002","7",87.687236,"1","6717"
"80",80,"ILMN_1662852","IQCK","IQ motif containing K (IQCK), mRNA.","Chr16: 19.775680",8.261,"N/A","N/A","N/A",0.542,147,0.000000000001293,"--","--","16",19.77568,"1","124152"
"81",81,"ILMN_1697787","HIP1","huntingtin interacting protein 1 (HIP1), mRNA.","Chr7: 75.001380",7.523,"N/A","N/A","N/A",0.541,147,0.000000000001446,"0.42","3.5999999999999997E-2","7",75.00138,"1","3092"
"82",82,"ILMN_1656951","APCDD1","adenomatosis polyposis coli down-regulated 1 (APCDD1), mRNA.","Chr18: 10.478228",9.195,"N/A","N/A","N/A",0.541,147,0.000000000001513,"0.26500000000000001","0.04","18",10.478228,"1","147495"
"83",83,"ILMN_1736078","THBS4","thrombospondin 4 (THBS4), mRNA.","Chr5: 79.414022",8.758,"N/A","N/A","N/A",0.541,147,0.000000000001533,"--","0.192","5",79.414022,"1","7060"
"84",84,"ILMN_1814200","BMP2K","BMP2 inducible kinase (BMP2K), transcript variant 1, mRNA.","Chr4: 80.051988",7.07,"N/A","N/A","N/A",0.541,147,0.00000000000155,"0.27200000000000002","-0.14299999999999999","4",80.051988,"1","55589"
"85",85,"ILMN_1653162","HSD17B6","hydroxysteroid (17-beta) dehydrogenase 6 homolog (mouse) (HSD17B6), mRNA.","Chr12: 55.467342",7.947,"N/A","N/A","N/A",0.54,147,0.000000000001607,"0.26400000000000001","0.48499999999999999","12",55.467342,"1","8630"
"86",86,"ILMN_1707592","RGN","regucalcin (senescence marker protein-30) (RGN), transcript variant 2, mRNA.","ChrX: 46.825526",7.326,"N/A","N/A","N/A",0.54,147,0.000000000001645,"0.60299999999999998","0.56499999999999995","X",46.825526,"1","9104"
"87",87,"ILMN_1799104","SPAG9","sperm associated antigen 9 (SPAG9), transcript variant 1, mRNA.","Chr17: 46.398579",9.232,"N/A","N/A","N/A",0.539,147,0.000000000001796,"--","0.13700000000000001","17",46.398579,"1","9043"
"88",88,"ILMN_1736103","ITPR2","inositol 1,4,5-triphosphate receptor, type 2 (ITPR2), mRNA.","ChrUn: 1.000000",7.592,"N/A","N/A","N/A",0.538,147,0.000000000002065,"0.38300000000000001","0.115","12",26.337,"1","3709"
"89",89,"ILMN_1746376","SCARA3","scavenger receptor class A, member 3 (SCARA3), transcript variant 2, mRNA.","Chr8: 27.572907",7.771,"N/A","N/A","N/A",0.538,147,0.000000000002065,"--","-0.221","8",27.572907,"1","51435"
"91",91,"ILMN_1722713","FBLN1","fibulin 1 (FBLN1), transcript variant C, mRNA.","Chr22: 44.318029",7.09,"N/A","N/A","N/A",0.532,147,0.000000000004241,"0.378","8.5000000000000006E-2","22",44.318029,"1","2192"
"92",92,"ILMN_1702822","NTRK2","neurotrophic tyrosine kinase, receptor, type 2 (NTRK2), transcript variant a, mRNA.","Chr9: 86.549727",7.326,"N/A","N/A","N/A",0.531,147,0.000000000004337,"0.40600000000000003","9.7000000000000003E-2","9",86.549727,"1","4915"
"93",93,"ILMN_1692077","MXRA7","matrix-remodelling associated 7 (MXRA7), transcript variant 2, mRNA.","Chr17: 72.191552",8.405,"N/A","N/A","N/A",0.53,147,0.000000000005243,"--","4.1000000000000002E-2","17",72.191552,"1","439921"
"94",94,"ILMN_1761531","SGPL1","sphingosine-1-phosphate lyase 1 (SGPL1), mRNA.","Chr10: 72.309382",7.464,"N/A","N/A","N/A",0.53,147,0.000000000005271,"0.45100000000000001","0.24199999999999999","10",72.309382,"1","8879"
"95",95,"ILMN_1789463","FXYD1","FXYD domain containing ion transport regulator 1 (phospholemman) (FXYD1), transcript variant b, mRNA.","Chr19: 40.321587",8.869,"N/A","N/A","N/A",0.53,147,0.000000000005309,"0.39600000000000002","0.30399999999999999","19",40.321587,"1","5348"
"96",96,"ILMN_1660199","ACAA2","acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase) (ACAA2), nuclear gene encoding mitochondrial protein, mRNA.","Chr18: 45.564119",8.575,"N/A","N/A","N/A",0.529,147,0.000000000005837,"--","0.71","18",45.564119,"1","10449"
"97",97,"ILMN_1738580","NR2E1","nuclear receptor subfamily 2, group E, member 1 (NR2E1), mRNA.","Chr6: 108.616216",8.114,"N/A","N/A","N/A",0.528,147,0.000000000006223,"0.52800000000000002","-0.14899999999999999","6",108.616216,"1","7101"
"98",98,"ILMN_1714383","TPD52L1","tumor protein D52-like 1 (TPD52L1), transcript variant 3, mRNA.","Chr6: 125.625894",10.738,"N/A","N/A","N/A",0.528,147,0.000000000006566,"--","-4.7E-2","6",125.625894,"1","7164"
"99",99,"ILMN_1734823","MSI2","musashi homolog 2 (Drosophila) (MSI2), transcript variant 1, mRNA.","Chr17: 53.048407",7.251,"N/A","N/A","N/A",0.528,147,0.000000000006576,"0.379","-0.189","17",53.048407,"1","124540"
"100",100,"ILMN_1671260","WLS","G protein-coupled receptor 177 (GPR177), transcript variant 2, mRNA.","Chr1: 68.384231",7.701,"N/A","N/A","N/A",0.527,147,0.000000000007245,"--","0.193","1",68.384231,"1","79971"
"102",102,"ILMN_1804841","WWOX","WW domain containing oxidoreductase (WWOX), transcript variant 1, mRNA.","Chr16: 77.016399",6.814,"N/A","N/A","N/A",0.526,147,0.000000000008005,"--","-0.52600000000000002","16",77.016399,"1","51741"
"103",103,"ILMN_1767612","BBS2","Bardet-Biedl syndrome 2 (BBS2), mRNA.","Chr16: 55.076248",11.361,"N/A","N/A","N/A",0.525,147,0.000000000008601,"0.52900000000000003","-0.307","16",55.076248,"1","583"
"104",104,"ILMN_1747271","ATP1B2","ATPase, Na+/K+ transporting, beta 2 polypeptide (ATP1B2), mRNA.","Chr17: 7.501480",11.951,"N/A","N/A","N/A",0.525,147,0.000000000008675,"0.38","-0.26700000000000002","17",7.50148,"1","482"
"105",105,"ILMN_1703350","ATRAID","chromosome 2 open reading frame 28 (C2orf28), transcript variant 1, mRNA.","Chr2: 27.288916",7.473,"N/A","N/A","N/A",0.525,147,0.000000000009143,"--","--","2",27.288916,"1","51374"
"106",106,"ILMN_1681130","ACP6","acid phosphatase 6, lysophosphatidic (ACP6), mRNA.","Chr1: 145.585935",7.512,"N/A","N/A","N/A",0.524,147,0.00000000000944,"0.38100000000000001","0.68","1",145.585935,"1","51205"
"107",107,"ILMN_1690621","ADGRV1","G protein-coupled receptor 98 (GPR98), transcript variant 1, mRNA.","ChrUn: 1.000000",9.776,"N/A","N/A","N/A",0.523,147,0.00000000001079,"0.432","9.2999999999999999E-2","5",90.529,"1","84059"
"108",108,"ILMN_1746846","TTLL4","tubulin tyrosine ligase-like family, member 4 (TTLL4), mRNA.","Chr2: 219.327220",7.147,"N/A","N/A","N/A",0.522,147,0.00000000001197,"--","-0.24299999999999999","2",219.32722,"1","9654"
"109",109,"ILMN_1763972","TJP2","tight junction protein 2 (zona occludens 2) (TJP2), transcript variant 1, mRNA.","Chr9: 71.055900",6.949,"N/A","N/A","N/A",0.52,147,0.00000000001427,"--","2.7E-2","9",71.0559,"1","9414"
"110",110,"ILMN_1743299","PEX2","peroxisomal membrane protein 3, 35kDa (Zellweger syndrome) (PXMP3), transcript variant 2, mRNA.","ChrUn: 1.000000",9.041,"N/A","N/A","N/A",0.52,147,0.00000000001473,"0.46400000000000002","0.64900000000000002","8",76.98,"1","5828"
"111",111,"ILMN_1809003","CBR1","carbonyl reductase 1 (CBR1), mRNA.","Chr21: 36.366911",8.173,"N/A","N/A","N/A",0.52,147,0.00000000001487,"0.53800000000000003","0.41199999999999998","21",36.366911,"1","873"
"112",112,"ILMN_1694849","MGST1","microsomal glutathione S-transferase 1 (MGST1), transcript variant 1c, mRNA.","Chr12: 16.408108",9.678,"N/A","N/A","N/A",0.519,147,0.00000000001624,"0.46899999999999997","0.60099999999999998","12",16.408108,"1","4257"
"113",113,"ILMN_1806681","CHDH","choline dehydrogenase (CHDH), mRNA.","Chr3: 53.826983",7.162,"N/A","N/A","N/A",0.517,147,0.00000000002082,"0.47299999999999998","0.35099999999999998","3",53.826983,"1","55349"
"114",114,"ILMN_1769665","RAB5C","RAB5C, member RAS oncogene family (RAB5C), transcript variant 1, mRNA.","Chr17: 37.530711",9.996,"N/A","N/A","N/A",0.517,147,0.00000000002124,"0.29699999999999999","0.40500000000000003","17",37.530711,"1","5878"
"115",115,"ILMN_1785284","ALDH6A1","aldehyde dehydrogenase 6 family, member A1 (ALDH6A1), nuclear gene encoding mitochondrial protein, mRNA.","Chr14: 73.597101",11.837,"N/A","N/A","N/A",0.516,147,0.00000000002151,"0.371","0.70799999999999996","14",73.597101,"1","4329"
"116",116,"ILMN_1795838","C4orf19","chromosome 4 open reading frame 19 (C4orf19), mRNA.","Chr4: 37.269572",6.962,"N/A","N/A","N/A",0.516,147,0.00000000002279,"--","--","4",37.269572,"1","55286"
